ADM0_PCODE,ADM0_EN,ADM0_AR,ADM1_PCODE,ADM1_EN,ADM1_AR,Governorate_Code,M_TL,F_TL,T_TL
EG,Egypt,مِصر,EG01,Cairo,القاهرة,1,4453589,4308914,8762503
EG,Egypt,مِصر,EG02,Alexandria,الاسكندرية,2,2302902,2205783,4508685
EG,Egypt,مِصر,EG03,Port Said,بورسعيد,3,320033,308407,628440
EG,Egypt,مِصر,EG04,Suez,السويس,4,293562,282717,576279
EG,Egypt,مِصر,EG11,Damietta,دمياط,11,634140,606044,1240184
EG,Egypt,مِصر,EG12,Dakahlia,الدقهليه,12,2823434,2736264,5559698
EG,Egypt,مِصر,EG13,Sharkia,الشرقية,13,3082936,2927494,6010430
EG,Egypt,مِصر,EG14,Kalyoubia,القليوبية,14,2445735,2308309,4754044
EG,Egypt,مِصر,EG15,Kafr El-Shikh,كفر الشيخ,15,1485843,1454187,2940030
EG,Egypt,مِصر,EG16,Gharbia,الغربية,16,2250563,2187857,4438420
EG,Egypt,مِصر,EG17,Menoufia,المنوفية,17,1884199,1772640,3656839
EG,Egypt,مِصر,EG18,Behera,البحيرة,18,2731304,2596250,5327554
EG,Egypt,مِصر,EG19,Ismailia,الاسماعيلية,19,547800,528786,1076586
EG,Egypt,مِصر,EG21,Giza,الجيزة,21,3601273,3378402,6979675
EG,Egypt,مِصر,EG22,Beni Suef,بنى سويف,22,1321606,1275027,2596633
EG,Egypt,مِصر,EG23,Fayoum,الفيوم,23,1489620,1392172,2881792
EG,Egypt,مِصر,EG24,Menia,المنيا,24,2399555,2300803,4700358
EG,Egypt,مِصر,EG25,Asyout,اسيوط,25,1985296,1903012,3888308
EG,Egypt,مِصر,EG26,Suhag,سوهاج,26,2130823,2079828,4210651
EG,Egypt,مِصر,EG27,Qena,قنا,27,1404705,1395668,2800373
EG,Egypt,مِصر,EG28,Aswan,أسوان,28,665664,656651,1322315
EG,Egypt,مِصر,EG29,Luxor,الأقصر,29,542708,521415,1064123
EG,Egypt,مِصر,EG31,Red Sea,البحر الأحمر,31,194581,125741,320322
EG,Egypt,مِصر,EG32,New Valley,الوادى الجديد,32,107080,101311,208391
EG,Egypt,مِصر,EG33,Matrouh,مطروح,33,203691,184917,388608
EG,Egypt,مِصر,EG34,North Sinai,شمال سيناء,34,205324,189947,395271
EG,Egypt,مِصر,EG35,South Sinai,جنوب سيناء,35,105946,53083,159029
