Area,Level 1,fatalities,event_id_cnty,numPresentIdpInd,phase3plus
Abassiya,South Kordofan,108.0,13.0,56528.0,54287
Abu Jubayhah,South Kordofan,0.0,2.0,56258.0,91277
Abu Zabad,West Kordofan,12.0,10.0,17517.0,151440
Adila,East Darfur,0.0,9.0,53737.0,85845
Al Dibab,West Kordofan,0.0,2.0,21146.0,146748
Al Idia,West Kordofan,15.0,14.0,57247.0,151440
Al Khiwai,West Kordofan,58.0,6.0,8069.0,174900
Al Meiram,West Kordofan,0.0,2.0,8018.0,146748
Al Qurashi,Aj Jazirah,17.0,9.0,81460.0,681606
Al Wihda,South Darfur,1.0,2.0,11020.0,242549
An Nuhud,West Kordofan,6.0,24.0,45809.0,134355
At Tina,North Darfur,0.0,3.0,5385.0,121328
Atbara,River Nile,5.0,19.0,169642.0,108542
Azum,Central Darfur,9.0,10.0,67400.0,369837
Babanusa,West Kordofan,307.0,77.0,34417.0,10020
Bahri,Khartoum,1181.0,744.0,18585.0,521150
Bara,North Kordofan,60.0,29.0,32225.0,261498
Barbar,River Nile,0.0,4.0,21486.0,37186
Basundah,Gedaref,0.0,7.0,45765.0,42800
Beida,West Darfur,50.0,10.0,3105.0,16885
Beliel,South Darfur,34.0,15.0,483998.0,453642
Bendasi,Central Darfur,12.0,5.0,28525.0,369837
Buram,South Darfur,213.0,29.0,195735.0,526939
Delami,South Kordofan,72.0,22.0,4781.0,22663
Delgo,Northern,0.0,3.0,40375.0,25786
Dilling,South Kordofan,143.0,53.0,44297.0,108770
Dongola,Northern,1.0,22.0,55209.0,70031
Geisan,Blue Nile,14.0,2.0,32131.0,58455
Gereida,South Darfur,16.0,4.0,138202.0,526939
Ghadeer,South Kordofan,116.0,12.0,13458.0,38972
Ghubaish,West Kordofan,20.0,9.0,14033.0,174900
Halfa,Northern,0.0,5.0,36341.0,28620
Haya,Red Sea,0.0,3.0,1955.0,99110
Heiban,South Kordofan,3.0,6.0,,124651
Kadugli,South Kordofan,137.0,64.0,85565.0,47301
Karrari,Khartoum,1028.0,332.0,15431.0,936591
Kas,South Darfur,55.0,9.0,150048.0,198328
Kateila,South Darfur,2.0,1.0,40403.0,310838
Kebkabiya,North Darfur,37.0,30.0,80805.0,256748
Keilak,West Kordofan,0.0,2.0,13568.0,36365
Kelemando,North Darfur,5.0,1.0,10887.0,128909
Kereneik,West Darfur,94.0,21.0,41600.0,203436
Khartoum,Khartoum,1775.0,1602.0,4085.0,1083799
Kosti,White Nile,29.0,28.0,135872.0,68633
Kubum,South Darfur,240.0,22.0,9090.0,310838
Kulbus,West Darfur,0.0,2.0,44482.0,37011
Kutum,North Darfur,190.0,47.0,152296.0,154935
Melit,North Darfur,33.0,41.0,46779.0,261912
Mershing,South Darfur,38.0,21.0,80145.0,242549
Mukjar,Central Darfur,28.0,14.0,28355.0,169248
Nitega,South Darfur,0.0,1.0,28505.0,242549
Nyala Janoub,South Darfur,914.0,263.0,77827.0,453642
Nyala Shimal,South Darfur,6.0,7.0,327705.0,453642
Rabak,White Nile,1.0,13.0,100552.0,188600
Saraf Omra,North Darfur,4.0,5.0,64697.0,256748
Sawakin,Red Sea,0.0,7.0,6812.0,15004
Sennar,Sennar,123.0,57.0,149234.0,367729
Sheikan,North Kordofan,747.0,185.0,43277.0,282220
Shendi,River Nile,40.0,22.0,198415.0,175313
Shiaria,East Darfur,5.0,1.0,,78097
Sinja,Sennar,2.0,7.0,74037.0,147167
Sirba,West Darfur,272.0,28.0,26225.0,91961
Soudari,North Kordofan,21.0,16.0,3968.0,192976
Talawdi,South Kordofan,4.0,2.0,10407.0,38972
Tawila,North Darfur,51.0,22.0,170859.0,154935
Tendalti,White Nile,0.0,4.0,18210.0,87112
Um Bada,Khartoum,617.0,220.0,8681.0,1083799
Um Dafoug,South Darfur,0.0,3.0,3835.0,308970
Um Dam Haj Ahmed,North Kordofan,39.0,9.0,15156.0,261498
Um Dukhun,Central Darfur,1.0,5.0,62030.0,169248
Um Rawaba,North Kordofan,173.0,65.0,41916.0,236766
Um Rimta,White Nile,9.0,6.0,13810.0,231568
Wad Bandah,West Kordofan,16.0,2.0,6300.0,174900
Wadi Salih,Central Darfur,4.0,8.0,85963.0,369837
Yassin,East Darfur,18.0,5.0,78710.0,53018
Zalingi,Central Darfur,379.0,153.0,208848.0,369837
As Serief,,,,11731.0,
Kernoi,,,,1580.0,
Gharb Bara,,,,8036.0,
Dordieb,,,,1455.0,
Hala'ib,,,,600.0,
Merwoe,,,,77802.0,
Agig,,,,210.0,
Sinkat,,,,8046.0,
Tawkar,,,,2370.0,
Damso,,,,7370.0,
Tulus,,,,20775.0,
Al Leri,,,,6641.0,
Ar Rashad,,,,20931.0,
Guli,,,,26634.0,
Baw,,,,50471.0,
Assalaya,,,,25240.0,
