admin0Name,admin0Pcode,numPresentIdpInd,yearReportingDate,year
Afghanistan,AFG,1728157,2017,2017
Afghanistan,AFG,3529971,2018,2018
Afghanistan,AFG,4350900,2019,2019
Afghanistan,AFG,4937277,2020,2020
Afghanistan,AFG,5832454,2021,2021
Afghanistan,AFG,6557855,2022,2022
Democratic Republic of the Congo,COD,57023,2016,2016
Democratic Republic of the Congo,COD,42878,2017,2017
Democratic Republic of the Congo,COD,131627,2018,2018
Democratic Republic of the Congo,COD,626549,2019,2019
Democratic Republic of the Congo,COD,375847,2020,2020
Democratic Republic of the Congo,COD,1479709,2021,2021
Democratic Republic of the Congo,COD,234488,2022,2022
Democratic Republic of the Congo,COD,1240215,2023,2023
Democratic Republic of the Congo,COD,1945901,2024,2024
Ethiopia,ETH,1696145,2017,2017
Ethiopia,ETH,2332936,2018,2018
Ethiopia,ETH,1733628,2019,2019
Ethiopia,ETH,1846551,2020,2020
Ethiopia,ETH,2114653,2021,2021
Ethiopia,ETH,3143255,2022,2022
Ethiopia,ETH,3194413,2023,2023
Ethiopia,ETH,3306693,2024,2024
Iraq,IRQ,2123340,2014,2014
Iraq,IRQ,3289740,2015,2015
Iraq,IRQ,3064146,2016,2016
Iraq,IRQ,2615988,2017,2017
Iraq,IRQ,1802832,2018,2018
Iraq,IRQ,1414632,2019,2019
Iraq,IRQ,1224108,2020,2020
Iraq,IRQ,1186556,2021,2021
Iraq,IRQ,1168619,2022,2022
Iraq,IRQ,1123663,2023,2023
Iraq,IRQ,1053038,2024,2024
Nigeria,NGA,389281,2014,2014
Nigeria,NGA,2151979,2015,2015
Nigeria,NGA,1770444,2016,2016
Nigeria,NGA,1702680,2017,2017
Nigeria,NGA,2026602,2018,2018
Nigeria,NGA,2039092,2019,2019
Nigeria,NGA,2150243,2020,2020
Nigeria,NGA,2171652,2021,2021
Nigeria,NGA,1190293,2022,2022
Nigeria,NGA,1092196,2023,2023
Nigeria,NGA,2271987,2024,2024
Somalia,SOM,90000,2016,2016
Somalia,SOM,1187838,2017,2017
Somalia,SOM,1687109,2021,2021
Somalia,SOM,4574256,2022,2022
Somalia,SOM,3451434,2024,2024
South Sudan,SSD,291247,2014,2014
South Sudan,SSD,521515,2015,2015
South Sudan,SSD,333732,2016,2016
South Sudan,SSD,362755,2017,2017
South Sudan,SSD,1275868,2018,2018
South Sudan,SSD,1665815,2019,2019
South Sudan,SSD,1710966,2020,2020
South Sudan,SSD,2229657,2021,2021
South Sudan,SSD,2257672,2022,2022
South Sudan,SSD,2027331,2023,2023
Sudan,SDN,1511201,2014,2014
Sudan,SDN,1669241,2015,2015
Sudan,SDN,1906519,2016,2016
Sudan,SDN,2084911,2017,2017
Sudan,SDN,2042896,2018,2018
Sudan,SDN,2086934,2019,2019
Sudan,SDN,2399433,2020,2020
Sudan,SDN,3086553,2021,2021
Sudan,SDN,3779487,2022,2022
Sudan,SDN,5424772,2023,2023
Sudan,SDN,11519598,2024,2024
Yemen,YEM,1267590,2015,2015
Yemen,YEM,2025060,2016,2016
Yemen,YEM,761214,2017,2017
Yemen,YEM,3647250,2018,2018
Yemen,YEM,2302346,2022,2022
Yemen,YEM,2791603,2023,2023
