Country,population,phase3plus_abs,phase3plus_per,date,Analysis Period,end_date,country_code
Afghanistan,43100596.0,16973664.0,0.41,2022-09-01,Sep 2022 - Oct 2022,2022-10-01,AFG
Afghanistan,41727303.0,19650163.0,0.47,2022-03-01,Mar 2022 - May 2022,2022-05-01,AFG
Afghanistan,41727304.0,18844453.0,0.47,2021-10-01,Sep 2021 - Oct 2021,2021-10-01,AFG
Afghanistan,32890171.0,10938928.0,0.35,2021-03-01,Mar 2021 - May 2021,2021-05-01,AFG
Afghanistan,32890171.0,11149264.0,0.36,2020-09-01,Aug 2020 - Oct 2020,2020-10-01,AFG
Afghanistan,32225560.0,10857425.0,0.35,2020-04-01,Apr 2020 - May 2020,2020-05-01,AFG
Afghanistan,32225560.0,10232241.0,0.33,2019-09-01,Aug 2019 - Oct 2019,2019-10-01,AFG
Afghanistan,31575018.0,9838407.0,0.43,2018-09-01,Aug 2018 - Oct 2018,2018-10-01,AFG
Afghanistan,31575018.0,1302047.0,0.33,2018-01-01,Nov 2017 - Feb 2018,2018-02-01,AFG
Afghanistan,29724323.0,7605812.0,0.27,2017-09-01,Aug 2017 - Nov 2017,2017-11-01,AFG
Afghanistan,29724323.0,762742.0,0.26,2017-05-01,May 2017 - Jul 2017,2017-07-01,AFG
Angola,32097671.0,1315532.0,0.49,2021-06-01,Jun 2021 - Sep 2021,2021-09-01,AGO
Angola,31825000.0,421167.0,0.47,2019-08-01,Jul 2019 - Sep 2019,2019-09-01,AGO
Burundi,12045234.0,1185181.0,0.1,2022-08-01,Jun 2022 - Sep 2022,2022-09-01,BDI
Burundi,12045234.0,1182686.0,0.1,2022-04-01,Apr 2022 - May 2022,2022-05-01,BDI
Burundi,12495569.0,1057992.0,0.09,2021-09-01,Jun 2021 - Sep 2021,2021-09-01,BDI
Burundi,12495569.0,1613419.0,0.14,2021-04-01,Apr 2021 - May 2021,2021-05-01,BDI
Burundi,11891000.0,755517.0,0.06,2020-08-01,Aug 2020 - Sep 2020,2020-09-01,BDI
Burundi,11891000.0,1444440.0,0.13,2020-05-01,May 2020 - May 2020,2020-05-01,BDI
Burundi,11178588.0,1399676.0,0.13,2018-07-01,Jul 2018 - Sep 2018,2018-09-01,BDI
Burundi,11178588.0,1368824.0,0.12,2018-03-01,Mar 2018 - Apr 2018,2018-04-01,BDI
Burundi,10400938.0,1764908.0,0.18,2017-07-01,Aug 2017 - Sep 2017,2017-09-01,BDI
Burundi,10400938.0,2565868.0,0.26,2017-03-01,Apr 2017 - May 2017,2017-05-01,BDI
Central African Republic,6091097.0,2652693.0,0.44,2022-09-01,Sep 2022 - Mar 2023,2023-03-01,CAF
Central African Republic,5677026.0,,,2022-03-01,,,CAF
Central African Republic,5677026.0,2095278.0,0.43,2021-09-01,Sep 2021 - Mar 2022,2022-03-01,CAF
Central African Republic,4900000.0,,,2021-02-01,,,CAF
Central African Republic,4830000.0,1928609.0,0.41,2020-09-01,Sep 2020 - Apr 2021,2021-04-01,CAF
Central African Republic,4830000.0,,,2020-04-01,,,CAF
Central African Republic,4826000.0,1615304.0,0.35,2019-09-01,Sep 2019 - Apr 2020,2020-04-01,CAF
Central African Republic,4826000.0,1809109.0,0.42,2019-05-01,May 2019 - Aug 2019,2019-08-01,CAF
Central African Republic,4684517.0,1898963.0,0.42,2018-09-01,Aug 2018 - Aug 2018,2018-08-01,CAF
Central African Republic,4946113.0,1635140.0,0.34,2018-03-01,Mar 2018 - Mar 2018,2018-03-01,CAF
Central African Republic,5711072.0,1110028.0,0.31,2017-02-01,Feb 2017 - May 2017,2017-05-01,CAF
Djibouti,1181675.0,131997.0,0.11,2022-03-01,Mar 2022 - Jun 2022,2022-06-01,DJI
