Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,DJI,1181675,current,2024-04-01,2024-06-30,all,1181675,1.0
Apr 2024,DJI,1181675,current,2024-04-01,2024-06-30,3+,221259,0.19
Apr 2024,DJI,1181675,current,2024-04-01,2024-06-30,1,456966,0.39
Apr 2024,DJI,1181675,current,2024-04-01,2024-06-30,2,503450,0.43
Apr 2024,DJI,1181675,current,2024-04-01,2024-06-30,3,182795,0.15
Apr 2024,DJI,1181675,current,2024-04-01,2024-06-30,4,38465,0.03
Apr 2024,DJI,1181675,current,2024-04-01,2024-06-30,5,0,0
Apr 2024,DJI,1181675,first projection,2024-07-01,2024-12-31,all,1181675,1.0
Apr 2024,DJI,1181675,first projection,2024-07-01,2024-12-31,3+,285000,0.24
Apr 2024,DJI,1181675,first projection,2024-07-01,2024-12-31,1,421955,0.36
Apr 2024,DJI,1181675,first projection,2024-07-01,2024-12-31,2,474720,0.4
Apr 2024,DJI,1181675,first projection,2024-07-01,2024-12-31,3,232178,0.2
Apr 2024,DJI,1181675,first projection,2024-07-01,2024-12-31,4,52822,0.04
Apr 2024,DJI,1181675,first projection,2024-07-01,2024-12-31,5,0,0
Apr 2023,DJI,1181675,current,2023-03-01,2023-06-30,all,1181675,1.0
Apr 2023,DJI,1181675,current,2023-03-01,2023-06-30,3+,249949,0.21
Apr 2023,DJI,1181675,current,2023-03-01,2023-06-30,1,485668,0.41
Apr 2023,DJI,1181675,current,2023-03-01,2023-06-30,2,446058,0.38
Apr 2023,DJI,1181675,current,2023-03-01,2023-06-30,3,164077,0.14
Apr 2023,DJI,1181675,current,2023-03-01,2023-06-30,4,85872,0.07
Apr 2023,DJI,1181675,current,2023-03-01,2023-06-30,5,0,0
Apr 2023,DJI,1181675,first projection,2023-07-01,2023-12-31,all,1181675,1.0
Apr 2023,DJI,1181675,first projection,2023-07-01,2023-12-31,3+,285413,0.24
Apr 2023,DJI,1181675,first projection,2023-07-01,2023-12-31,1,494539,0.42
Apr 2023,DJI,1181675,first projection,2023-07-01,2023-12-31,2,401722,0.34
Apr 2023,DJI,1181675,first projection,2023-07-01,2023-12-31,3,185312,0.16
Apr 2023,DJI,1181675,first projection,2023-07-01,2023-12-31,4,100102,0.08
Apr 2023,DJI,1181675,first projection,2023-07-01,2023-12-31,5,0,0
Mar 2022,DJI,1181675,current,2022-03-01,2022-06-30,all,1181675,1.0
Mar 2022,DJI,1181675,current,2022-03-01,2022-06-30,3+,131997,0.11
Mar 2022,DJI,1181675,current,2022-03-01,2022-06-30,1,627092,0.53
Mar 2022,DJI,1181675,current,2022-03-01,2022-06-30,2,422586,0.36
Mar 2022,DJI,1181675,current,2022-03-01,2022-06-30,3,127073,0.11
Mar 2022,DJI,1181675,current,2022-03-01,2022-06-30,4,4923,0
Mar 2022,DJI,1181675,current,2022-03-01,2022-06-30,5,0,0
Mar 2022,DJI,1181675,first projection,2022-07-01,2022-12-31,all,1181675,1.0
Mar 2022,DJI,1181675,first projection,2022-07-01,2022-12-31,3+,192168,0.16
Mar 2022,DJI,1181675,first projection,2022-07-01,2022-12-31,1,574741,0.49
Mar 2022,DJI,1181675,first projection,2022-07-01,2022-12-31,2,414767,0.35
Mar 2022,DJI,1181675,first projection,2022-07-01,2022-12-31,3,179778,0.15
Mar 2022,DJI,1181675,first projection,2022-07-01,2022-12-31,4,12390,0.01
Mar 2022,DJI,1181675,first projection,2022-07-01,2022-12-31,5,0,0
Oct 2020,DJI,1117143,current,2020-10-01,2020-12-31,all,1117143,1.0
Oct 2020,DJI,1117143,current,2020-10-01,2020-12-31,3+,154979,0.14
Oct 2020,DJI,1117143,current,2020-10-01,2020-12-31,1,668757,0.6
Oct 2020,DJI,1117143,current,2020-10-01,2020-12-31,2,293408,0.26
Oct 2020,DJI,1117143,current,2020-10-01,2020-12-31,3,129106,0.12
Oct 2020,DJI,1117143,current,2020-10-01,2020-12-31,4,25873,0.02
Oct 2020,DJI,1117143,current,2020-10-01,2020-12-31,5,0,0
Oct 2020,DJI,1117143,first projection,2021-01-01,2021-08-31,all,1117143,1.0
Oct 2020,DJI,1117143,first projection,2021-01-01,2021-08-31,3+,194197,0.17
Oct 2020,DJI,1117143,first projection,2021-01-01,2021-08-31,1,534001,0.48
Oct 2020,DJI,1117143,first projection,2021-01-01,2021-08-31,2,388945,0.35
Oct 2020,DJI,1117143,first projection,2021-01-01,2021-08-31,3,167210,0.15
Oct 2020,DJI,1117143,first projection,2021-01-01,2021-08-31,4,26987,0.02
Oct 2020,DJI,1117143,first projection,2021-01-01,2021-08-31,5,0,0
