Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Mar 2024,LBN,5574488,first projection,2024-04-01,2024-09-30,all,5574488,1.0
Mar 2024,LBN,5574488,first projection,2024-04-01,2024-09-30,3+,1260931,0.23
Mar 2024,LBN,5574488,first projection,2024-04-01,2024-09-30,1,1849760,0.33
Mar 2024,LBN,5574488,first projection,2024-04-01,2024-09-30,2,2463797,0.44
Mar 2024,LBN,5574488,first projection,2024-04-01,2024-09-30,3,1175520,0.21
Mar 2024,LBN,5574488,first projection,2024-04-01,2024-09-30,4,85411,0.02
Mar 2024,LBN,5574488,first projection,2024-04-01,2024-09-30,5,0,0
Oct 2023,LBN,5575680,current,2023-10-01,2024-03-31,all,5574500,1.0
Oct 2023,LBN,5575680,current,2023-10-01,2024-03-31,3+,1049957,0.19
Oct 2023,LBN,5575680,current,2023-10-01,2024-03-31,1,1894920,0.34
Oct 2023,LBN,5575680,current,2023-10-01,2024-03-31,2,2629623,0.47
Oct 2023,LBN,5575680,current,2023-10-01,2024-03-31,3,976190,0.18
Oct 2023,LBN,5575680,current,2023-10-01,2024-03-31,4,73767,0.01
Oct 2023,LBN,5575680,current,2023-10-01,2024-03-31,5,0,0
Oct 2023,LBN,5575680,first projection,2024-04-01,2024-09-30,all,5574488,1.0
Oct 2023,LBN,5575680,first projection,2024-04-01,2024-09-30,3+,1143368,0.2
Oct 2023,LBN,5575680,first projection,2024-04-01,2024-09-30,1,1881822,0.34
Oct 2023,LBN,5575680,first projection,2024-04-01,2024-09-30,2,2549299,0.46
Oct 2023,LBN,5575680,first projection,2024-04-01,2024-09-30,3,1079246,0.19
Oct 2023,LBN,5575680,first projection,2024-04-01,2024-09-30,4,64122,0.01
Oct 2023,LBN,5575680,first projection,2024-04-01,2024-09-30,5,0,0
May 2023,LBN,5800000,current,2023-05-01,2023-10-31,all,5575680,1.0
May 2023,LBN,5800000,current,2023-05-01,2023-10-31,3+,1411549,0.25
May 2023,LBN,5800000,current,2023-05-01,2023-10-31,1,1629716,0.29
May 2023,LBN,5800000,current,2023-05-01,2023-10-31,2,2534415,0.46
May 2023,LBN,5800000,current,2023-05-01,2023-10-31,3,1299764,0.23
May 2023,LBN,5800000,current,2023-05-01,2023-10-31,4,111785,0.02
May 2023,LBN,5800000,current,2023-05-01,2023-10-31,5,0,0
Sep 2022,LBN,5800000,current,2022-09-01,2022-12-31,all,5364000,1.0
Sep 2022,LBN,5800000,current,2022-09-01,2022-12-31,3+,1984000,0.37
Sep 2022,LBN,5800000,current,2022-09-01,2022-12-31,1,962000,0.18
Sep 2022,LBN,5800000,current,2022-09-01,2022-12-31,2,2419000,0.45
Sep 2022,LBN,5800000,current,2022-09-01,2022-12-31,3,1678000,0.31
Sep 2022,LBN,5800000,current,2022-09-01,2022-12-31,4,306000,0.06
Sep 2022,LBN,5800000,current,2022-09-01,2022-12-31,5,0,0
Sep 2022,LBN,5800000,first projection,2023-01-01,2023-04-30,all,5364000,1.0
Sep 2022,LBN,5800000,first projection,2023-01-01,2023-04-30,3+,2260000,0.42
Sep 2022,LBN,5800000,first projection,2023-01-01,2023-04-30,1,961000,0.18
Sep 2022,LBN,5800000,first projection,2023-01-01,2023-04-30,2,2143000,0.4
Sep 2022,LBN,5800000,first projection,2023-01-01,2023-04-30,3,1906000,0.35
Sep 2022,LBN,5800000,first projection,2023-01-01,2023-04-30,4,354000,0.07
Sep 2022,LBN,5800000,first projection,2023-01-01,2023-04-30,5,0,0
