Date of analysis,Country,Total country population,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2024,YEM,10156422,current,2024-07-01,2024-09-30,all,10156423,1.0
Aug 2024,YEM,10156422,current,2024-07-01,2024-09-30,3+,4647925,0.46
Aug 2024,YEM,10156422,current,2024-07-01,2024-09-30,1,2568361,0.25
Aug 2024,YEM,10156422,current,2024-07-01,2024-09-30,2,2940138,0.29
Aug 2024,YEM,10156422,current,2024-07-01,2024-09-30,3,3411347,0.34
Aug 2024,YEM,10156422,current,2024-07-01,2024-09-30,4,1236578,0.12
Aug 2024,YEM,10156422,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,first projection,2024-10-01,2025-03-31,all,10287916,1.0
Aug 2024,YEM,10156422,first projection,2024-10-01,2025-03-31,3+,4634928,0.45
Aug 2024,YEM,10156422,first projection,2024-10-01,2025-03-31,1,2537760,0.25
Aug 2024,YEM,10156422,first projection,2024-10-01,2025-03-31,2,3115228,0.3
Aug 2024,YEM,10156422,first projection,2024-10-01,2025-03-31,3,3502236,0.34
Aug 2024,YEM,10156422,first projection,2024-10-01,2025-03-31,4,1132691,0.11
Aug 2024,YEM,10156422,first projection,2024-10-01,2025-03-31,5,0,0
Oct 2023,YEM,33733413,first projection,2023-10-01,2024-02-29,all,10113601,1.0
Oct 2023,YEM,33733413,first projection,2023-10-01,2024-02-29,3+,4558412,0.45
Oct 2023,YEM,33733413,first projection,2023-10-01,2024-02-29,1,2697012,0.27
Oct 2023,YEM,33733413,first projection,2023-10-01,2024-02-29,2,2858177,0.28
Oct 2023,YEM,33733413,first projection,2023-10-01,2024-02-29,3,3280387,0.32
Oct 2023,YEM,33733413,first projection,2023-10-01,2024-02-29,4,1278025,0.13
Oct 2023,YEM,33733413,first projection,2023-10-01,2024-02-29,5,0,0
Mar 2023,YEM,32627231,current,2023-01-01,2023-05-31,all,9441725,1.0
Mar 2023,YEM,32627231,current,2023-01-01,2023-05-31,3+,3234000,0.34
Mar 2023,YEM,32627231,current,2023-01-01,2023-05-31,1,2734500,0.29
Mar 2023,YEM,32627231,current,2023-01-01,2023-05-31,2,3474000,0.37
Mar 2023,YEM,32627231,current,2023-01-01,2023-05-31,3,2454000,0.26
Mar 2023,YEM,32627231,current,2023-01-01,2023-05-31,4,780000,0.08
Mar 2023,YEM,32627231,current,2023-01-01,2023-05-31,5,0,0
Mar 2023,YEM,32627231,first projection,2023-06-01,2023-12-31,all,9441725,1.0
Mar 2023,YEM,32627231,first projection,2023-06-01,2023-12-31,3+,3871500,0.41
Mar 2023,YEM,32627231,first projection,2023-06-01,2023-12-31,1,2592000,0.27
Mar 2023,YEM,32627231,first projection,2023-06-01,2023-12-31,2,2976500,0.32
Mar 2023,YEM,32627231,first projection,2023-06-01,2023-12-31,3,2760500,0.29
Mar 2023,YEM,32627231,first projection,2023-06-01,2023-12-31,4,1111000,0.12
Mar 2023,YEM,32627231,first projection,2023-06-01,2023-12-31,5,0,0
Aug 2022,YEM,31900000,first projection,2022-10-01,2022-12-31,all,31888698,1.0
Aug 2022,YEM,31900000,first projection,2022-10-01,2022-12-31,3+,16911500,0.53
Aug 2022,YEM,31900000,first projection,2022-10-01,2022-12-31,1,6091500,0.19
Aug 2022,YEM,31900000,first projection,2022-10-01,2022-12-31,2,9033000,0.28
Aug 2022,YEM,31900000,first projection,2022-10-01,2022-12-31,3,10832000,0.34
Aug 2022,YEM,31900000,first projection,2022-10-01,2022-12-31,4,6079500,0.19
Aug 2022,YEM,31900000,first projection,2022-10-01,2022-12-31,5,0,0
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,all,31711046,1.0
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,3+,17368939,0.55
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,1,5784175,0.18
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,2,8557931,0.27
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,3,11720155,0.37
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,4,5617582,0.18
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,5,31202,0
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,all,31711046,1.0
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,3+,19064864,0.61
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,1,5440808,0.17
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,2,7205373,0.23
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,3,11748514,0.37
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,4,7156116,0.23
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,5,160234,0.01
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,all,31900000,1.0
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,3+,17365500,0.55
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,1,5784500,0.18
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,2,8557000,0.27
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,3,11715000,0.37
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,4,5619500,0.18
Feb 2022,YEM,31900000,current,2022-01-01,2022-05-31,5,31000,0
Feb 2022,YEM,31900000,first projection,2022-06-01,2022-12-31,all,31900000,1.0
