state_origin,affected_idps_state,admin1,fatalities,event_id_cnty
Blue Nile,273665.0,Blue Nile,241,91
Central Darfur,746573.0,Central Darfur,476,287
East Darfur,247616.0,East Darfur,134,122
Gedaref,14284.0,Gedaref,70,136
Kassala,6126.0,Kassala,3,77
Khartoum,3671823.0,Khartoum,8763,5583
North Darfur,1654189.0,North Darfur,4824,1262
North Kordofan,87246.0,North Kordofan,1456,448
Northern,11962.0,Northern,46,99
Red Sea,33043.0,Red Sea,7,132
River Nile,69922.0,River Nile,97,155
Sennar,320382.0,Sennar,779,390
South Darfur,2080427.0,South Darfur,1862,552
South Kordofan,417011.0,South Kordofan,960,328
West Darfur,388757.0,West Darfur,5080,394
West Kordofan,312745.0,West Kordofan,863,299
White Nile,63258.0,White Nile,200,219
