id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
172370,Sudan,SDN,15.84944,25.504379,"[15.84944, 25.504379]",Recommended figure,Conflict,approximately,31865,2024-12-18,2024-12-18,2024-12-18,2024,28650,Sudan: Communal violence - North Darfur (Dar As Salam) - 18/12/2024,,,2024-12-18,2024-12-18,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-inter-communal-conflict-in-dar-as-salam-locality-north-darfur-update-002?e=b699c75958,"North Darfur State, Sudan","15.84944, 25.504379",State/Region/Province (ADM1),Origin and destination,Displacement without preventive evacuations reported,2024-12-19T18:30:29.661126Z,"Sudan: 31,865 displacements, 18 December - 18 December. Communal violence resulted in approximately 6373 households being displaced in Dar As Salam on 18 December, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-inter-communal-conflict-in-dar-as-salam-locality-north-darfur-update-002?e=b699c75958,Conflict
172369,Sudan,SDN,13.8961225,23.16439,"[13.8961225, 23.16439]",Recommended figure,Conflict,approximately,1575,2024-12-18,2024-12-18,2024-12-18,2024,20686,Sudan: Non-International armed conflict (NIAC) - Countrywide - 01/01/2024,CE-2023-000066-SDN; MDRSD033,Glide Number; IFRC Appeal ID,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-kebkabiya-kebkabiya-town-north-darfur-update-004?e=b699c75958,"Geneina, West Darfur State, Sudan; Kebkabiya, Kabkabiya, North Darfur State, Sudan; Saraf `Umrah, Kabkabiya, North Darfur State, Sudan; Tina, Kutum, North Darfur State, Sudan","13.4435, 22.44523; 13.65032, 24.09025; 13.47296, 23.303511; 15.01771, 22.818569",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Destination; Origin; Destination; Destination,Displacement without preventive evacuations reported,2024-12-19T18:23:47.131997Z,"Sudan: 1,575 displacements, 18 December - 18 December. According to IOM Displacement Tracking Matrix (IOM DTM), approximately 315 households were displaced from Kebkabiya to Saraf `Umrah, Tina and Geneina due to non-international armed conflict (niac) on 18 December",https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-kebkabiya-kebkabiya-town-north-darfur-update-004?e=b699c75958,Conflict
172422,Sudan,SDN,13.946903333333331,24.399150333333335,"[13.946903333333331, 24.399150333333335]",Recommended figure,Conflict,approximately,3515,2024-12-18,2024-12-17,2024-12-18,2024,20686,Sudan: Non-International armed conflict (NIAC) - Countrywide - 01/01/2024,CE-2023-000066-SDN; MDRSD033,Glide Number; IFRC Appeal ID,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-fasher-al-fasher-town-north-darfur-update-067?e=b699c75958,"Al Fasher, North Darfur State, Sudan; Tawilah, Al Fasher, North Darfur State, Sudan; Tina, Kutum, North Darfur State, Sudan","13.30913, 25.517651; 13.51387, 24.861231; 15.01771, 22.818569",District/Zone/Department (ADM2); County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin and destination; Destination; Destination,Displacement without preventive evacuations reported,2024-12-20T16:37:43.446774Z,"Sudan: 3,515 displacements, 17 December - 18 December. According to IOM Displacement Tracking Matrix (IOM DTM), approximately 703 households were displaced in Al Fasher due to non-international armed conflict (niac) on 17 December",https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-fasher-al-fasher-town-north-darfur-update-067?e=b699c75958,Conflict
172286,Sudan,SDN,12.19327,24.841841,"[12.19327, 24.841841]",Recommended figure,Conflict,approximately,290,2024-12-17,2024-12-17,2024-12-17,2024,20686,Sudan: Non-International armed conflict (NIAC) - Countrywide - 01/01/2024,CE-2023-000066-SDN; MDRSD033,Glide Number; IFRC Appeal ID,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-nyala-janoub-nyala-town-south-darfur-update-020?e=b699c75958,"Nyala, South Darfur State, Sudan","12.19327, 24.841841",District/Zone/Department (ADM2),Origin and destination,Displacement without preventive evacuations reported,2024-12-19T12:52:34.136626Z,"Sudan: 290 displacements, 17 December - 17 December. Approximately 58 households were displaced due to non-international armed conflict (niac) on 17 December in Nyala, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-nyala-janoub-nyala-town-south-darfur-update-020?e=b699c75958,Conflict
172423,Sudan,SDN,15.84944,25.504379,"[15.84944, 25.504379]",Recommended figure,Conflict,approximately,6455,2024-12-17,2024-12-16,2024-12-17,2024,20686,Sudan: Non-International armed conflict (NIAC) - Countrywide - 01/01/2024,CE-2023-000066-SDN; MDRSD033,Glide Number; IFRC Appeal ID,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-koma-al-koma-town-north-darfur-update-006?e=b699c75958,"North Darfur State, Sudan","15.84944, 25.504379",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2024-12-20T18:37:33.108963Z,"Sudan: 6,455 displacements, 16 December - 17 December. Non-international armed conflict (niac) resulted in approximately 1291 households being displaced in North Darfur State on 16 and 17 December, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-koma-al-koma-town-north-darfur-update-006?e=b699c75958,Conflict
172226,Sudan,SDN,13.65032,24.09025,"[13.65032, 24.09025]",Recommended figure,Conflict,approximately,3250,2024-12-17,2024-12-16,2024-12-17,2024,20686,Sudan: Non-International armed conflict (NIAC) - Countrywide - 01/01/2024,CE-2023-000066-SDN; MDRSD033,Glide Number; IFRC Appeal ID,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-kebkabiya-kebkabiya-town-north-darfur-update-003?e=b699c75958,"Kebkabiya, Kabkabiya, North Darfur State, Sudan","13.65032, 24.09025",County/City/town/Village/Woreda (ADM3),Origin and destination,Displacement without preventive evacuations reported,2024-12-18T16:23:45.466245Z,"Sudan: 3,250 displacements, 16 December - 17 December. Approximately 650 households were displaced due to non-international armed conflict (niac) on 16 and 17 December in Kebkabiya, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-kebkabiya-kebkabiya-town-north-darfur-update-003?e=b699c75958,Conflict
172104,Sudan,SDN,13.4115,25.189441000000002,"[13.4115, 25.189441000000002]",Recommended figure,Conflict,approximately,750,2024-12-15,2024-12-14,2024-12-15,2024,20686,Sudan: Non-International armed conflict (NIAC) - Countrywide - 01/01/2024,CE-2023-000066-SDN; MDRSD033,Glide Number; IFRC Appeal ID,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-fasher-zamzam-idp-camp-north-darfur-update-066?e=b699c75958,"Al Fasher, North Darfur State, Sudan; Tawilah, Al Fasher, North Darfur State, Sudan","13.30913, 25.517651; 13.51387, 24.861231",District/Zone/Department (ADM2); County/City/town/Village/Woreda (ADM3),Origin and destination; Destination,Displacement without preventive evacuations reported,2024-12-17T10:56:14.615079Z,"Sudan: 750 displacements, 14 December - 15 December. Non-international armed conflict (niac) resulted in approximately 150 households being displaced in Al Fasher on 14 and 15 December, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-fasher-zamzam-idp-camp-north-darfur-update-066?e=b699c75958,Conflict
171937,Sudan,SDN,11.26541,26.43845,"[11.26541, 26.43845]",Recommended figure,Conflict,approximately,200,2024-12-14,2024-12-14,2024-12-14,2024,28605,Sudan: Communal violence - East Darfur (Shia'ria) - 14/12/2024,,,2024-12-14,2024-12-14,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-inter-communal-conflict-in-shiaria-um-safato-village-east-darfur-update-001?e=b699c75958,"East Darfur State, Sudan","11.26541, 26.43845",State/Region/Province (ADM1),Origin and destination,Displacement without preventive evacuations reported,2024-12-16T12:48:17.209464Z,"Sudan: 200 displacements, 14 December - 14 December. Communal violence resulted in approximately 40 households being displaced in East Darfur State on 14 December, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-inter-communal-conflict-in-shiaria-um-safato-village-east-darfur-update-001?e=b699c75958,Conflict
171921,Sudan,SDN,13.568845,25.1083955,"[13.568845, 25.1083955]",Recommended figure,Conflict,approximately,350,2024-12-14,2024-12-13,2024-12-14,2024,20686,Sudan: Non-International armed conflict (NIAC) - Countrywide - 01/01/2024,CE-2023-000066-SDN; MDRSD033,Glide Number; IFRC Appeal ID,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-fasher-al-fasher-town-north-darfur-update-065?e=b699c75958,"Al-Fashir, Al Fasher, North Darfur State, Sudan; Tawilah, Al Fasher, North Darfur State, Sudan","13.62382, 25.35556; 13.51387, 24.861231",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3),Origin; Destination,Displacement without preventive evacuations reported,2024-12-16T11:11:28.169790Z,"Sudan: 350 displacements, 13 December - 14 December. Approximately 70 households were displaced due to non-international armed conflict (niac) on 13 and 14 December in Al-Fashir, Tawilah, according to IOM Displacement Tracking Matrix (IOM DTM).",https://mailchi.mp/iom/dtm-sudan-flash-alert-conflict-in-al-fasher-al-fasher-town-north-darfur-update-065?e=b699c75958,Conflict
