Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,current,2024-04-01,2024-05-31,all,2323,1.0
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,current,2024-04-01,2024-05-31,3+,1278,0.55
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,current,2024-04-01,2024-05-31,1,232,0.1
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,current,2024-04-01,2024-05-31,2,813,0.35
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,current,2024-04-01,2024-05-31,3,697,0.3
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,current,2024-04-01,2024-05-31,4,465,0.2
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,current,2024-04-01,2024-05-31,5,116,0.05
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,first projection,2024-06-01,2024-09-30,all,2323,1.0
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,first projection,2024-06-01,2024-09-30,3+,1626,0.7
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,first projection,2024-06-01,2024-09-30,1,116,0.05
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,first projection,2024-06-01,2024-09-30,2,581,0.25
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,first projection,2024-06-01,2024-09-30,3,929,0.4
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,first projection,2024-06-01,2024-09-30,4,581,0.25
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,first projection,2024-06-01,2024-09-30,5,116,0.05
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,second projection,2024-10-01,2025-02-28,all,2323,1.0
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,second projection,2024-10-01,2025-02-28,3+,1278,0.55
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,second projection,2024-10-01,2025-02-28,1,232,0.1
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,second projection,2024-10-01,2025-02-28,2,813,0.35
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,second projection,2024-10-01,2025-02-28,3,697,0.3
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,second projection,2024-10-01,2025-02-28,4,581,0.25
Apr 2024,SDN,47208125,South Kordofan,Kadugli Refugees,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,current,2024-04-01,2024-05-31,all,146513,1.0
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,current,2024-04-01,2024-05-31,3+,87908,0.6
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,current,2024-04-01,2024-05-31,1,14651,0.1
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,current,2024-04-01,2024-05-31,2,43954,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,current,2024-04-01,2024-05-31,3,43954,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,current,2024-04-01,2024-05-31,4,36628,0.25
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,current,2024-04-01,2024-05-31,5,7326,0.05
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,first projection,2024-06-01,2024-09-30,all,146513,1.0
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,first projection,2024-06-01,2024-09-30,3+,95234,0.65
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,first projection,2024-06-01,2024-09-30,1,7326,0.05
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,first projection,2024-06-01,2024-09-30,2,43954,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,first projection,2024-06-01,2024-09-30,3,43954,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,first projection,2024-06-01,2024-09-30,4,43954,0.3
Apr 2024,SDN,47208125,South Kordofan,S.Kordofan IDPs,first projection,2024-06-01,2024-09-30,5,7326,0.05
