event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
YEM94565,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Ibb,"Far Al Udayn",,"Uzlat Al Aqibah",13.8786,43.7357,2,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Uzlat Al Aqibah region (Far Al Udayn, Ibb) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387227
YEM94586,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Ibb,"Hazm Al Udayn",,"Al Junayd",14.0842,44.0575,1,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Al Junayd (Hazm Al Udayn, Ibb) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94587,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Ibb,"Hazm Al Udayn",,"Uzlat Al Ajum",14.0936,43.9495,2,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Uzlat Al Ajum region (Hazm Al Udayn, Ibb) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94589,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Ibb,"Hazm Al Udayn",,"Uzlat Al Aslum",14.0473,43.9221,2,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Uzlat Al Aslum region (Hazm Al Udayn, Ibb) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94633,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Sadah,Ghamr,,"Ar Rahmanayn",17.019,43.2983,1,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Ar Rahmanayn (Ghamr, Sadah) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94634,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Sadah,Majz,,"Walad Umar",16.791,43.3719,1,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Walad Umar (Majz, Sadah) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94635,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Sadah,Saqayn,,"Uzlat Arw",16.9411,43.5175,2,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Uzlat Arw region (Saqayn, Sadah) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94658,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Sadah,"Al Dhaher",,Jafrah,16.6537,43.2992,1,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Jafrah (Al Dhaher, Sadah) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94667,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Dhamar,"Dawran Aness",,"Dawran ad Daydah",14.7393,44.2066,2,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored protest in Dawran Aness district (coded to district center Dawran ad Daydah) (Dhamar) in solidarity with the Palestinian people and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734387228
YEM94520,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Yemen)","Government of Yemen (2017-) Houthi",Protesters,,,,"Protesters only",,887,"Middle East",Yemen,Ibb,"Al Makhadir",,"Al Makhadir",14.1222,44.198,2,"Yemen News Agency (SABA) - Houthi",National,"On 13 December 2024, protesters held a large Houthi-sponsored demonstration in Al Makhadir district (coded to district center Al Makhadir) (Ibb) in solidarity with the Palestinian people, and with Houthi actions against the 'Zionist enemy' in the context of the latest round of violence in Israel-Palestine.",0,"crowd size=large",1734466550
