location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm1+code,#adm1+name,#indicator+mpi,#indicator+headcount_ratio,#indicator+intensity_of_deprivation,#indicator+vulnerable_to_poverty,#indicator+in_severe_poverty,#date+start,#date+end
YEM,True,True,,YEM-XXX,UNSPECIFIED,0.1926,38.1147,50.5253,19.2684,17.7675,2013-01-01,2013-12-31
YEM,True,True,,YEM-XXX,UNSPECIFIED,0.188,37.4449,50.2052,22.4916,16.9645,2022-01-01,2023-12-31
YEM,True,True,Ibb,YE11,Ibb,0.1743,35.3221,49.3428,24.1658,14.5089,2013-01-01,2013-12-31
YEM,True,True,Ibb,YE11,Ibb,0.1446,30.1623,47.928,31.1255,10.8789,2022-01-01,2023-12-31
YEM,True,True,Abyan,YE12,Abyan,0.0937,20.0907,46.6426,20.6773,7.1046,2013-01-01,2013-12-31
YEM,True,True,Abyan,YE12,Abyan,0.1139,25.1073,45.3839,17.0266,7.9231,2022-01-01,2023-12-31
YEM,True,True,Sanaa City,YE13,Sana'a City,0.0359,9.5996,37.4227,1.1961,1.7425,2013-01-01,2013-12-31
YEM,True,True,Sanaa City,YE13,Sana'a City,0.0357,9.3384,38.254,8.6014,1.1554,2022-01-01,2023-12-31
YEM,True,True,Al-Baidha,YE14,Al Bayda,0.1668,34.6424,48.1395,17.1218,13.3473,2013-01-01,2013-12-31
YEM,True,True,Al-Baidha,YE14,Al Bayda,0.183,38.5206,47.4986,26.709,13.9263,2022-01-01,2023-12-31
YEM,True,True,Taiz,YE15,Ta'iz,0.1605,32.6435,49.1721,21.7478,14.3553,2013-01-01,2013-12-31
YEM,True,True,Taiz,YE15,Ta'iz,0.1252,26.42,47.3767,30.383,8.774,2022-01-01,2023-12-31
YEM,True,True,Al-Jawf,YE16,Al Jawf,0.2127,46.1535,46.0776,30.7081,15.0588,2013-01-01,2013-12-31
YEM,True,True,Al-Jawf,YE16,Al Jawf,0.3658,70.9386,51.5588,23.049,39.2916,2022-01-01,2023-12-31
YEM,True,True,Hajjah,YE17,Hajjah,0.3878,67.2995,57.6201,16.3859,45.7031,2013-01-01,2013-12-31
YEM,True,True,Hajjah,YE17,Hajjah,0.3805,69.1827,55.0006,18.5218,42.4745,2022-01-01,2023-12-31
YEM,True,True,Al-Hodiedah,YE18,Al Hodeidah,0.2586,49.5364,52.197,17.902,25.5419,2013-01-01,2013-12-31
YEM,True,True,Al-Hodiedah,YE18,Al Hodeidah,0.2348,45.8621,51.1889,23.4228,21.8439,2022-01-01,2023-12-31
YEM,True,True,Hadramout,YE19,Hadramawt,0.0933,21.6174,43.182,11.4146,6.3107,2013-01-01,2013-12-31
YEM,True,True,Hadramout,YE19,Hadramawt,0.0415,9.3729,44.2683,9.183,2.3864,2022-01-01,2023-12-31
YEM,True,True,Dhamar,YE20,Dhamar,0.2617,49.9544,52.3855,24.9235,24.0883,2013-01-01,2013-12-31
YEM,True,True,Dhamar,YE20,Dhamar,0.2519,50.0927,50.2857,29.5585,23.4189,2022-01-01,2023-12-31
YEM,True,True,Shabwah,YE21,Shabwah,0.1216,28.0442,43.347,25.2822,7.0351,2013-01-01,2013-12-31
YEM,True,True,Shabwah,YE21,Shabwah,0.1647,34.4544,47.8158,21.4031,11.8473,2022-01-01,2023-12-31
YEM,True,True,Sadah,YE22,Sa'dah,0.2459,48.9241,50.2611,25.4141,20.3511,2013-01-01,2013-12-31
YEM,True,True,Sadah,YE22,Sa'dah,0.2662,50.5874,52.6196,22.7706,25.8037,2022-01-01,2023-12-31
YEM,True,True,Sanaa,YE23,Sana'a,0.2132,43.2853,49.2554,28.5425,18.3032,2013-01-01,2013-12-31
