Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2024,YEM,10156422,Abyan,Ahwar,current,2024-07-01,2024-09-30,all,36963,1.0
Aug 2024,YEM,10156422,Abyan,Ahwar,current,2024-07-01,2024-09-30,3+,16633,0.45
Aug 2024,YEM,10156422,Abyan,Ahwar,current,2024-07-01,2024-09-30,1,9241,0.25
Aug 2024,YEM,10156422,Abyan,Ahwar,current,2024-07-01,2024-09-30,2,11089,0.3
Aug 2024,YEM,10156422,Abyan,Ahwar,current,2024-07-01,2024-09-30,3,12937,0.35
Aug 2024,YEM,10156422,Abyan,Ahwar,current,2024-07-01,2024-09-30,4,3696,0.1
Aug 2024,YEM,10156422,Abyan,Ahwar,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Ahwar,first projection,2024-10-01,2025-03-31,all,36768,1.0
Aug 2024,YEM,10156422,Abyan,Ahwar,first projection,2024-10-01,2025-03-31,3+,16546,0.45
Aug 2024,YEM,10156422,Abyan,Ahwar,first projection,2024-10-01,2025-03-31,1,9192,0.25
Aug 2024,YEM,10156422,Abyan,Ahwar,first projection,2024-10-01,2025-03-31,2,11030,0.3
Aug 2024,YEM,10156422,Abyan,Ahwar,first projection,2024-10-01,2025-03-31,3,12869,0.35
Aug 2024,YEM,10156422,Abyan,Ahwar,first projection,2024-10-01,2025-03-31,4,3677,0.1
Aug 2024,YEM,10156422,Abyan,Ahwar,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Zingibar,current,2024-07-01,2024-09-30,all,41649,1.0
Aug 2024,YEM,10156422,Abyan,Zingibar,current,2024-07-01,2024-09-30,3+,20824,0.5
Aug 2024,YEM,10156422,Abyan,Zingibar,current,2024-07-01,2024-09-30,1,10412,0.25
Aug 2024,YEM,10156422,Abyan,Zingibar,current,2024-07-01,2024-09-30,2,10412,0.25
Aug 2024,YEM,10156422,Abyan,Zingibar,current,2024-07-01,2024-09-30,3,14577,0.35
Aug 2024,YEM,10156422,Abyan,Zingibar,current,2024-07-01,2024-09-30,4,6247,0.15
Aug 2024,YEM,10156422,Abyan,Zingibar,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Zingibar,first projection,2024-10-01,2025-03-31,all,42170,1.0
Aug 2024,YEM,10156422,Abyan,Zingibar,first projection,2024-10-01,2025-03-31,3+,21086,0.5
Aug 2024,YEM,10156422,Abyan,Zingibar,first projection,2024-10-01,2025-03-31,1,10543,0.25
Aug 2024,YEM,10156422,Abyan,Zingibar,first projection,2024-10-01,2025-03-31,2,10543,0.25
Aug 2024,YEM,10156422,Abyan,Zingibar,first projection,2024-10-01,2025-03-31,3,14760,0.35
Aug 2024,YEM,10156422,Abyan,Zingibar,first projection,2024-10-01,2025-03-31,4,6326,0.15
Aug 2024,YEM,10156422,Abyan,Zingibar,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Mudiyah,current,2024-07-01,2024-09-30,all,51081,1.0
Aug 2024,YEM,10156422,Abyan,Mudiyah,current,2024-07-01,2024-09-30,3+,25540,0.5
Aug 2024,YEM,10156422,Abyan,Mudiyah,current,2024-07-01,2024-09-30,1,12770,0.25
Aug 2024,YEM,10156422,Abyan,Mudiyah,current,2024-07-01,2024-09-30,2,12770,0.25
Aug 2024,YEM,10156422,Abyan,Mudiyah,current,2024-07-01,2024-09-30,3,17878,0.35
Aug 2024,YEM,10156422,Abyan,Mudiyah,current,2024-07-01,2024-09-30,4,7662,0.15
Aug 2024,YEM,10156422,Abyan,Mudiyah,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Mudiyah,first projection,2024-10-01,2025-03-31,all,51744,1.0
Aug 2024,YEM,10156422,Abyan,Mudiyah,first projection,2024-10-01,2025-03-31,3+,25872,0.5
Aug 2024,YEM,10156422,Abyan,Mudiyah,first projection,2024-10-01,2025-03-31,1,12936,0.25
Aug 2024,YEM,10156422,Abyan,Mudiyah,first projection,2024-10-01,2025-03-31,2,12936,0.25
Aug 2024,YEM,10156422,Abyan,Mudiyah,first projection,2024-10-01,2025-03-31,3,15523,0.3
Aug 2024,YEM,10156422,Abyan,Mudiyah,first projection,2024-10-01,2025-03-31,4,10349,0.2
Aug 2024,YEM,10156422,Abyan,Mudiyah,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Al wade'a,current,2024-07-01,2024-09-30,all,35062,1.0
Aug 2024,YEM,10156422,Abyan,Al wade'a,current,2024-07-01,2024-09-30,3+,15778,0.45
Aug 2024,YEM,10156422,Abyan,Al wade'a,current,2024-07-01,2024-09-30,1,7012,0.2
Aug 2024,YEM,10156422,Abyan,Al wade'a,current,2024-07-01,2024-09-30,2,12272,0.35
Aug 2024,YEM,10156422,Abyan,Al wade'a,current,2024-07-01,2024-09-30,3,10519,0.3
Aug 2024,YEM,10156422,Abyan,Al wade'a,current,2024-07-01,2024-09-30,4,5259,0.15
Aug 2024,YEM,10156422,Abyan,Al wade'a,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Al wade'a,first projection,2024-10-01,2025-03-31,all,35487,1.0
Aug 2024,YEM,10156422,Abyan,Al wade'a,first projection,2024-10-01,2025-03-31,3+,17743,0.5
Aug 2024,YEM,10156422,Abyan,Al wade'a,first projection,2024-10-01,2025-03-31,1,7097,0.2
Aug 2024,YEM,10156422,Abyan,Al wade'a,first projection,2024-10-01,2025-03-31,2,10646,0.3
Aug 2024,YEM,10156422,Abyan,Al wade'a,first projection,2024-10-01,2025-03-31,3,12420,0.35
Aug 2024,YEM,10156422,Abyan,Al wade'a,first projection,2024-10-01,2025-03-31,4,5323,0.15
Aug 2024,YEM,10156422,Abyan,Al wade'a,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Jayshan,current,2024-07-01,2024-09-30,all,22013,1.0
Aug 2024,YEM,10156422,Abyan,Jayshan,current,2024-07-01,2024-09-30,3+,12108,0.55
Aug 2024,YEM,10156422,Abyan,Jayshan,current,2024-07-01,2024-09-30,1,4403,0.2
Aug 2024,YEM,10156422,Abyan,Jayshan,current,2024-07-01,2024-09-30,2,5503,0.25
Aug 2024,YEM,10156422,Abyan,Jayshan,current,2024-07-01,2024-09-30,3,7705,0.35
Aug 2024,YEM,10156422,Abyan,Jayshan,current,2024-07-01,2024-09-30,4,4403,0.2
Aug 2024,YEM,10156422,Abyan,Jayshan,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Jayshan,first projection,2024-10-01,2025-03-31,all,21513,1.0
Aug 2024,YEM,10156422,Abyan,Jayshan,first projection,2024-10-01,2025-03-31,3+,11833,0.55
Aug 2024,YEM,10156422,Abyan,Jayshan,first projection,2024-10-01,2025-03-31,1,4303,0.2
Aug 2024,YEM,10156422,Abyan,Jayshan,first projection,2024-10-01,2025-03-31,2,5378,0.25
Aug 2024,YEM,10156422,Abyan,Jayshan,first projection,2024-10-01,2025-03-31,3,7530,0.35
Aug 2024,YEM,10156422,Abyan,Jayshan,first projection,2024-10-01,2025-03-31,4,4303,0.2
Aug 2024,YEM,10156422,Abyan,Jayshan,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Abyan,Sibah,current,2024-07-01,2024-09-30,all,25543,1.0
Aug 2024,YEM,10156422,Abyan,Sibah,current,2024-07-01,2024-09-30,3+,10217,0.4
Aug 2024,YEM,10156422,Abyan,Sibah,current,2024-07-01,2024-09-30,1,7663,0.3
Aug 2024,YEM,10156422,Abyan,Sibah,current,2024-07-01,2024-09-30,2,7663,0.3
Aug 2024,YEM,10156422,Abyan,Sibah,current,2024-07-01,2024-09-30,3,8940,0.35
Aug 2024,YEM,10156422,Abyan,Sibah,current,2024-07-01,2024-09-30,4,1277,0.05
Aug 2024,YEM,10156422,Abyan,Sibah,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,Sibah,first projection,2024-10-01,2025-03-31,all,25006,1.0
Aug 2024,YEM,10156422,Abyan,Sibah,first projection,2024-10-01,2025-03-31,3+,8752,0.35
Aug 2024,YEM,10156422,Abyan,Sibah,first projection,2024-10-01,2025-03-31,1,7502,0.3
Aug 2024,YEM,10156422,Abyan,Sibah,first projection,2024-10-01,2025-03-31,2,8752,0.35
Aug 2024,YEM,10156422,Abyan,Sibah,first projection,2024-10-01,2025-03-31,3,7502,0.3
