Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Aug 2024,YEM,10156422,Abyan,Ahwar,2024-07-01,2024-09-30,36963,16633,0.45,9241,0.25,11089,0.3,12937,0.35,3696,0.1,0,0,2024-10-01,2025-03-31,36768,16546,0.45,9192,0.25,11030,0.3,12869,0.35,3677,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Zingibar,2024-07-01,2024-09-30,41649,20824,0.5,10412,0.25,10412,0.25,14577,0.35,6247,0.15,0,0,2024-10-01,2025-03-31,42170,21086,0.5,10543,0.25,10543,0.25,14760,0.35,6326,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Mudiyah,2024-07-01,2024-09-30,51081,25540,0.5,12770,0.25,12770,0.25,17878,0.35,7662,0.15,0,0,2024-10-01,2025-03-31,51744,25872,0.5,12936,0.25,12936,0.25,15523,0.3,10349,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Al wade'a,2024-07-01,2024-09-30,35062,15778,0.45,7012,0.2,12272,0.35,10519,0.3,5259,0.15,0,0,2024-10-01,2025-03-31,35487,17743,0.5,7097,0.2,10646,0.3,12420,0.35,5323,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Jayshan,2024-07-01,2024-09-30,22013,12108,0.55,4403,0.2,5503,0.25,7705,0.35,4403,0.2,0,0,2024-10-01,2025-03-31,21513,11833,0.55,4303,0.2,5378,0.25,7530,0.35,4303,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Sibah,2024-07-01,2024-09-30,25543,10217,0.4,7663,0.3,7663,0.3,8940,0.35,1277,0.05,0,0,2024-10-01,2025-03-31,25006,8752,0.35,7502,0.3,8752,0.35,7502,0.3,1250,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Sarar,2024-07-01,2024-09-30,22161,9972,0.45,5540,0.25,6648,0.3,7756,0.35,2216,0.1,0,0,2024-10-01,2025-03-31,22434,8974,0.4,6730,0.3,6730,0.3,7852,0.35,1122,0.05,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Khanfir,2024-07-01,2024-09-30,168776,75950,0.45,42194,0.25,50633,0.3,59072,0.35,16878,0.1,0,0,2024-10-01,2025-03-31,170996,85498,0.5,42749,0.25,42749,0.25,59849,0.35,25649,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2024,YEM,10156422,Abyan,Lawdar,2024-07-01,2024-09-30,106805,53403,0.5,26701,0.25,26701,0.25,37382,0.35,16021,0.15,0,0,2024-10-01,2025-03-31,108354,54177,0.5,27089,0.25,27089,0.25,37924,0.35,16253,0.15,0,0,,,0,,,,,,,,,,,,
