Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2024,YEM,10156422,Abyan,current,2024-07-01,2024-09-30,all,628929,1.0
Aug 2024,YEM,10156422,Abyan,current,2024-07-01,2024-09-30,3+,291883,0.46
Aug 2024,YEM,10156422,Abyan,current,2024-07-01,2024-09-30,1,157691,0.25
Aug 2024,YEM,10156422,Abyan,current,2024-07-01,2024-09-30,2,179354,0.29
Aug 2024,YEM,10156422,Abyan,current,2024-07-01,2024-09-30,3,216418,0.34
Aug 2024,YEM,10156422,Abyan,current,2024-07-01,2024-09-30,4,75466,0.12
Aug 2024,YEM,10156422,Abyan,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Abyan,first projection,2024-10-01,2025-03-31,all,631013,1.0
Aug 2024,YEM,10156422,Abyan,first projection,2024-10-01,2025-03-31,3+,300917,0.48
Aug 2024,YEM,10156422,Abyan,first projection,2024-10-01,2025-03-31,1,159280,0.25
Aug 2024,YEM,10156422,Abyan,first projection,2024-10-01,2025-03-31,2,170815,0.27
Aug 2024,YEM,10156422,Abyan,first projection,2024-10-01,2025-03-31,3,215106,0.34
Aug 2024,YEM,10156422,Abyan,first projection,2024-10-01,2025-03-31,4,85811,0.14
Aug 2024,YEM,10156422,Abyan,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Al Hudaydah,current,2024-07-01,2024-09-30,all,172888,1.0
Aug 2024,YEM,10156422,Al Hudaydah,current,2024-07-01,2024-09-30,3+,88741,0.51
Aug 2024,YEM,10156422,Al Hudaydah,current,2024-07-01,2024-09-30,1,34578,0.2
Aug 2024,YEM,10156422,Al Hudaydah,current,2024-07-01,2024-09-30,2,49570,0.29
Aug 2024,YEM,10156422,Al Hudaydah,current,2024-07-01,2024-09-30,3,54163,0.31
Aug 2024,YEM,10156422,Al Hudaydah,current,2024-07-01,2024-09-30,4,34578,0.2
Aug 2024,YEM,10156422,Al Hudaydah,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Al Hudaydah,first projection,2024-10-01,2025-03-31,all,209030,1.0
Aug 2024,YEM,10156422,Al Hudaydah,first projection,2024-10-01,2025-03-31,3+,108547,0.52
Aug 2024,YEM,10156422,Al Hudaydah,first projection,2024-10-01,2025-03-31,1,41806,0.2
Aug 2024,YEM,10156422,Al Hudaydah,first projection,2024-10-01,2025-03-31,2,58677,0.28
Aug 2024,YEM,10156422,Al Hudaydah,first projection,2024-10-01,2025-03-31,3,73161,0.35
Aug 2024,YEM,10156422,Al Hudaydah,first projection,2024-10-01,2025-03-31,4,35386,0.17
Aug 2024,YEM,10156422,Al Hudaydah,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Hadramaut,current,2024-07-01,2024-09-30,all,1741215,1.0
Aug 2024,YEM,10156422,Hadramaut,current,2024-07-01,2024-09-30,3+,636880,0.36
Aug 2024,YEM,10156422,Hadramaut,current,2024-07-01,2024-09-30,1,554940,0.32
Aug 2024,YEM,10156422,Hadramaut,current,2024-07-01,2024-09-30,2,549395,0.32
Aug 2024,YEM,10156422,Hadramaut,current,2024-07-01,2024-09-30,3,541418,0.31
Aug 2024,YEM,10156422,Hadramaut,current,2024-07-01,2024-09-30,4,95462,0.05
Aug 2024,YEM,10156422,Hadramaut,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Hadramaut,first projection,2024-10-01,2025-03-31,all,1744079,1.0
Aug 2024,YEM,10156422,Hadramaut,first projection,2024-10-01,2025-03-31,3+,656326,0.38
Aug 2024,YEM,10156422,Hadramaut,first projection,2024-10-01,2025-03-31,1,540242,0.31
Aug 2024,YEM,10156422,Hadramaut,first projection,2024-10-01,2025-03-31,2,547511,0.31
Aug 2024,YEM,10156422,Hadramaut,first projection,2024-10-01,2025-03-31,3,587548,0.34
Aug 2024,YEM,10156422,Hadramaut,first projection,2024-10-01,2025-03-31,4,68778,0.04
Aug 2024,YEM,10156422,Hadramaut,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Marib,current,2024-07-01,2024-09-30,all,1624051,1.0
Aug 2024,YEM,10156422,Marib,current,2024-07-01,2024-09-30,3+,876464,0.54
Aug 2024,YEM,10156422,Marib,current,2024-07-01,2024-09-30,1,332614,0.2
Aug 2024,YEM,10156422,Marib,current,2024-07-01,2024-09-30,2,414973,0.26
Aug 2024,YEM,10156422,Marib,current,2024-07-01,2024-09-30,3,618202,0.38
Aug 2024,YEM,10156422,Marib,current,2024-07-01,2024-09-30,4,258262,0.16
Aug 2024,YEM,10156422,Marib,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Marib,first projection,2024-10-01,2025-03-31,all,1578791,1.0
Aug 2024,YEM,10156422,Marib,first projection,2024-10-01,2025-03-31,3+,836512,0.53
Aug 2024,YEM,10156422,Marib,first projection,2024-10-01,2025-03-31,1,323458,0.2
Aug 2024,YEM,10156422,Marib,first projection,2024-10-01,2025-03-31,2,418821,0.27
Aug 2024,YEM,10156422,Marib,first projection,2024-10-01,2025-03-31,3,546002,0.35
Aug 2024,YEM,10156422,Marib,first projection,2024-10-01,2025-03-31,4,290510,0.18
Aug 2024,YEM,10156422,Marib,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Socotra,current,2024-07-01,2024-09-30,all,118295,1.0
Aug 2024,YEM,10156422,Socotra,current,2024-07-01,2024-09-30,3+,29574,0.25
Aug 2024,YEM,10156422,Socotra,current,2024-07-01,2024-09-30,1,44361,0.38
Aug 2024,YEM,10156422,Socotra,current,2024-07-01,2024-09-30,2,44361,0.37
Aug 2024,YEM,10156422,Socotra,current,2024-07-01,2024-09-30,3,29574,0.25
Aug 2024,YEM,10156422,Socotra,current,2024-07-01,2024-09-30,4,0,0
Aug 2024,YEM,10156422,Socotra,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Socotra,first projection,2024-10-01,2025-03-31,all,118932,1.0
Aug 2024,YEM,10156422,Socotra,first projection,2024-10-01,2025-03-31,3+,29733,0.25
Aug 2024,YEM,10156422,Socotra,first projection,2024-10-01,2025-03-31,1,44600,0.38
Aug 2024,YEM,10156422,Socotra,first projection,2024-10-01,2025-03-31,2,44600,0.38
Aug 2024,YEM,10156422,Socotra,first projection,2024-10-01,2025-03-31,3,29733,0.25
Aug 2024,YEM,10156422,Socotra,first projection,2024-10-01,2025-03-31,4,0,0
Aug 2024,YEM,10156422,Socotra,first projection,2024-10-01,2025-03-31,5,0,0
Aug 2024,YEM,10156422,Al Dhale'e,current,2024-07-01,2024-09-30,all,506618,1.0
Aug 2024,YEM,10156422,Al Dhale'e,current,2024-07-01,2024-09-30,3+,239578,0.47
Aug 2024,YEM,10156422,Al Dhale'e,current,2024-07-01,2024-09-30,1,86106,0.17
Aug 2024,YEM,10156422,Al Dhale'e,current,2024-07-01,2024-09-30,2,180934,0.36
Aug 2024,YEM,10156422,Al Dhale'e,current,2024-07-01,2024-09-30,3,152167,0.3
Aug 2024,YEM,10156422,Al Dhale'e,current,2024-07-01,2024-09-30,4,87410,0.17
Aug 2024,YEM,10156422,Al Dhale'e,current,2024-07-01,2024-09-30,5,0,0
Aug 2024,YEM,10156422,Al Dhale'e,first projection,2024-10-01,2025-03-31,all,560363,1.0
Aug 2024,YEM,10156422,Al Dhale'e,first projection,2024-10-01,2025-03-31,3+,259209,0.46
Aug 2024,YEM,10156422,Al Dhale'e,first projection,2024-10-01,2025-03-31,1,94478,0.17
Aug 2024,YEM,10156422,Al Dhale'e,first projection,2024-10-01,2025-03-31,2,206676,0.37
