Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Aug 2024,YEM,10156422,Abyan,2024-07-01,2024-09-30,628929,291883,0.46,157691,0.25,179354,0.29,216418,0.34,75466,0.12,0,0,2024-10-01,2025-03-31,631013,300917,0.48,159280,0.25,170815,0.27,215106,0.34,85811,0.14,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Hudaydah,2024-07-01,2024-09-30,172888,88741,0.51,34578,0.2,49570,0.29,54163,0.31,34578,0.2,0,0,2024-10-01,2025-03-31,209030,108547,0.52,41806,0.2,58677,0.28,73161,0.35,35386,0.17,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Hadramaut,2024-07-01,2024-09-30,1741215,636880,0.36,554940,0.32,549395,0.32,541418,0.31,95462,0.05,0,0,2024-10-01,2025-03-31,1744079,656326,0.38,540242,0.31,547511,0.31,587548,0.34,68778,0.04,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Marib,2024-07-01,2024-09-30,1624051,876464,0.54,332614,0.2,414973,0.26,618202,0.38,258262,0.16,0,0,2024-10-01,2025-03-31,1578791,836512,0.53,323458,0.2,418821,0.27,546002,0.35,290510,0.18,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Socotra,2024-07-01,2024-09-30,118295,29574,0.25,44361,0.38,44361,0.37,29574,0.25,0,0,0,0,2024-10-01,2025-03-31,118932,29733,0.25,44600,0.38,44600,0.38,29733,0.25,0,0,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Dhale'e,2024-07-01,2024-09-30,506618,239578,0.47,86106,0.17,180934,0.36,152167,0.3,87410,0.17,0,0,2024-10-01,2025-03-31,560363,259209,0.46,94478,0.17,206676,0.37,175407,0.31,83801,0.15,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Jawf,2024-07-01,2024-09-30,118380,65109,0.55,23676,0.2,29595,0.25,41433,0.35,23676,0.2,0,0,2024-10-01,2025-03-31,116557,64106,0.55,23311,0.2,29139,0.25,40795,0.35,23311,0.2,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Lahj,2024-07-01,2024-09-30,1132963,513826,0.45,294854,0.26,324283,0.29,352345,0.31,161481,0.14,0,0,2024-10-01,2025-03-31,1169594,486583,0.42,302545,0.26,380467,0.33,368426,0.32,118157,0.1,0,0,,,,,,,,,,,,,,,
Aug 2024,YEM,10156422,Al Maharah,2024-07-01,2024-09-30,198056,71119,0.36,57754,0.29,69183,0.35,56229,0.28,14890,0.08,0,0,2024-10-01,2025-03-31,199304,74195,0.37,51817,0.26,73291,0.37,61708,0.31,12488,0.06,0,0,,,,,,,,,,,,,,,
