countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
YEM,Yemen,,national,2024-12-31,SURVEY,fcs,22172538,0.6490024536919359
YEM,Yemen,,national,2024-12-31,SURVEY,rcsi,16898832,0.4946381615188935
YEM,Yemen,,national,2024-12-30,SURVEY,fcs,22140242,0.6480571319049382
YEM,Yemen,,national,2024-12-30,SURVEY,rcsi,16918582,0.4952162549451136
YEM,Yemen,,national,2024-12-29,SURVEY,fcs,22127913,0.6476962552542107
YEM,Yemen,,national,2024-12-29,SURVEY,rcsi,17030720,0.49849859624280835
YEM,Yemen,,national,2024-12-28,SURVEY,fcs,22134231,0.6478810878050737
YEM,Yemen,,national,2024-12-28,SURVEY,rcsi,17113071,0.5009090555715503
YEM,Yemen,,national,2024-12-27,SURVEY,fcs,22116736,0.6473690982807999
YEM,Yemen,,national,2024-12-27,SURVEY,rcsi,17148817,0.5019553607671788
YEM,Yemen,,national,2024-12-26,SURVEY,fcs,22098230,0.6468273933788166
YEM,Yemen,,national,2024-12-26,SURVEY,rcsi,17246247,0.5048071907680207
YEM,Yemen,,national,2024-12-25,SURVEY,fcs,22031628,0.644877940036813
YEM,Yemen,,national,2024-12-25,SURVEY,rcsi,17309137,0.5066480158604248
YEM,Yemen,,national,2024-12-24,SURVEY,fcs,22033666,0.6449375934242882
YEM,Yemen,,national,2024-12-24,SURVEY,rcsi,17392058,0.5090751594045058
YEM,Yemen,,national,2024-12-23,SURVEY,fcs,22006735,0.6441493081553499
YEM,Yemen,,national,2024-12-23,SURVEY,rcsi,17277101,0.5057103044172662
YEM,Yemen,,national,2024-12-22,SURVEY,fcs,21986715,0.6435633116797586
YEM,Yemen,,national,2024-12-22,SURVEY,rcsi,17317234,0.5068850195298985
YEM,Yemen,,national,2024-12-21,SURVEY,fcs,21963454,0.6428824493411608
YEM,Yemen,,national,2024-12-21,SURVEY,rcsi,17265311,0.5053652045947276
YEM,Yemen,,national,2024-12-20,SURVEY,fcs,21938972,0.6421658476570737
YEM,Yemen,,national,2024-12-20,SURVEY,rcsi,17335944,0.5074326715807632
YEM,Yemen,,national,2024-12-19,SURVEY,fcs,21906500,0.641215386056925
YEM,Yemen,,national,2024-12-19,SURVEY,rcsi,17291275,0.5061251852386961
YEM,Yemen,,national,2024-12-18,SURVEY,fcs,21884150,0.6405611891802732
YEM,Yemen,,national,2024-12-18,SURVEY,rcsi,17373267,0.5085251364388298
YEM,Yemen,,national,2024-12-17,SURVEY,fcs,21689021,0.6348496740006946
YEM,Yemen,,national,2024-12-17,SURVEY,rcsi,17297530,0.5063082725491268
YEM,Yemen,,national,2024-12-16,SURVEY,fcs,21586306,0.6318431187329551
YEM,Yemen,,national,2024-12-16,SURVEY,rcsi,17252859,0.5050007276659532
YEM,Yemen,,national,2024-12-15,SURVEY,fcs,21548984,0.6307506831454418
YEM,Yemen,,national,2024-12-15,SURVEY,rcsi,17261757,0.5052611770485611
YEM,Yemen,,national,2024-12-14,SURVEY,fcs,21602139,0.6323065594021876
YEM,Yemen,,national,2024-12-14,SURVEY,rcsi,17217398,0.5039627645779942
YEM,Yemen,,national,2024-12-13,SURVEY,fcs,21566935,0.6312761188464077
YEM,Yemen,,national,2024-12-13,SURVEY,rcsi,17226010,0.5042148425823794
YEM,Yemen,,national,2024-12-12,SURVEY,fcs,21493115,0.6291153533008274
YEM,Yemen,,national,2024-12-12,SURVEY,rcsi,17252860,0.5050007569365065
YEM,Yemen,,national,2024-12-11,SURVEY,fcs,21342255,0.6246995658589225
YEM,Yemen,,national,2024-12-11,SURVEY,rcsi,17306979,0.5065848500065625
YEM,Yemen,,national,2024-12-10,SURVEY,fcs,21257362,0.6222146972709397
YEM,Yemen,,national,2024-12-10,SURVEY,rcsi,17375991,0.5086048694258183
YEM,Yemen,,national,2024-12-09,SURVEY,fcs,21165290,0.6195197474958164
YEM,Yemen,,national,2024-12-09,SURVEY,rcsi,17592610,0.5149454273951538
YEM,Yemen,,national,2024-12-08,SURVEY,fcs,21142437,0.618850827542935
YEM,Yemen,,national,2024-12-08,SURVEY,rcsi,17750199,0.5195581446075387
YEM,Yemen,,national,2024-12-07,SURVEY,fcs,21256170,0.6221797320440607
YEM,Yemen,,national,2024-12-07,SURVEY,rcsi,17787763,0.5206576636689327
YEM,Yemen,,national,2024-12-06,SURVEY,fcs,21245207,0.6218590071815762
YEM,Yemen,,national,2024-12-06,SURVEY,rcsi,18034476,0.5278790896670615
YEM,Yemen,,national,2024-12-05,SURVEY,fcs,21257970,0.6222325767595942
YEM,Yemen,,national,2024-12-05,SURVEY,rcsi,18063157,0.528718598404146
YEM,Yemen,,national,2024-12-04,SURVEY,fcs,21321590,0.6240947462598209
YEM,Yemen,,national,2024-12-04,SURVEY,rcsi,18022240,0.5275209351777841
YEM,Yemen,,national,2024-12-03,SURVEY,fcs,21311986,0.6238136318615476
YEM,Yemen,,national,2024-12-03,SURVEY,rcsi,17980647,0.5263034850574411
YEM,Yemen,,national,2024-12-02,SURVEY,fcs,21314668,0.6238921354867212
YEM,Yemen,,national,2024-12-02,SURVEY,rcsi,17908026,0.5241778282115914
YEM,Yemen,,national,2024-12-01,SURVEY,fcs,21398621,0.6263494862862043
YEM,Yemen,,national,2024-12-01,SURVEY,rcsi,17902873,0.5240269970508161
YEM,Yemen,,national,2024-11-30,SURVEY,fcs,21426543,0.6271667786881814
YEM,Yemen,,national,2024-11-30,SURVEY,rcsi,17940896,0.5251399512961411
YEM,Yemen,,national,2024-11-29,SURVEY,fcs,21463819,0.6282578826661381
YEM,Yemen,,national,2024-11-29,SURVEY,rcsi,17972008,0.5260506167481188
YEM,Yemen,,national,2024-11-28,SURVEY,fcs,21472381,0.6285084709566449
YEM,Yemen,,national,2024-11-28,SURVEY,rcsi,17903650,0.524049740270673
YEM,Yemen,,national,2024-11-27,SURVEY,fcs,21485208,0.628883924342879
YEM,Yemen,,national,2024-11-27,SURVEY,rcsi,17969783,0.5259854897671902
YEM,Yemen,,national,2024-11-26,SURVEY,fcs,21520966,0.6299306468606942
YEM,Yemen,,national,2024-11-26,SURVEY,rcsi,18040953,0.5280686750403085
YEM,Yemen,,national,2024-11-25,SURVEY,fcs,21567038,0.6312791102473768
YEM,Yemen,,national,2024-11-25,SURVEY,rcsi,18029025,0.5277194774877616
YEM,Yemen,,national,2024-11-24,SURVEY,fcs,21488922,0.6289926351775617
YEM,Yemen,,national,2024-11-24,SURVEY,rcsi,17928516,0.524777581847199
YEM,Yemen,,national,2024-11-23,SURVEY,fcs,21485239,0.6288848317300291
YEM,Yemen,,national,2024-11-23,SURVEY,rcsi,17801646,0.5210640267593739
YEM,Yemen,,national,2024-11-22,SURVEY,fcs,21445560,0.6277233906450206
YEM,Yemen,,national,2024-11-22,SURVEY,rcsi,17874246,0.5231890689236058
YEM,Yemen,,national,2024-11-21,SURVEY,fcs,21475352,0.6285954453421748
YEM,Yemen,,national,2024-11-21,SURVEY,rcsi,17963512,0.5258019341279079
YEM,Yemen,,national,2024-11-20,SURVEY,fcs,21411468,0.626725513747969
YEM,Yemen,,national,2024-11-20,SURVEY,rcsi,17947599,0.5253361518144172
YEM,Yemen,,national,2024-11-19,SURVEY,fcs,21335171,0.624492290385926
YEM,Yemen,,national,2024-11-19,SURVEY,rcsi,17923439,0.524628975248469
