countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
YEM,Yemen,,national,,2024-12-31,SURVEY,22172538,0.6490024536919359,16898832,0.4946381615188935,,,,
YEM,Yemen,,national,,2024-12-30,SURVEY,22140242,0.6480571319049382,16918582,0.4952162549451136,,,,
YEM,Yemen,,national,,2024-12-29,SURVEY,22127913,0.6476962552542107,17030720,0.49849859624280835,,,,
YEM,Yemen,,national,,2024-12-28,SURVEY,22134231,0.6478810878050737,17113071,0.5009090555715503,,,,
YEM,Yemen,,national,,2024-12-27,SURVEY,22116736,0.6473690982807999,17148817,0.5019553607671788,,,,
YEM,Yemen,,national,,2024-12-26,SURVEY,22098230,0.6468273933788166,17246247,0.5048071907680207,,,,
YEM,Yemen,,national,,2024-12-25,SURVEY,22031628,0.644877940036813,17309137,0.5066480158604248,,,,
YEM,Yemen,,national,,2024-12-24,SURVEY,22033666,0.6449375934242882,17392058,0.5090751594045058,,,,
YEM,Yemen,,national,,2024-12-23,SURVEY,22006735,0.6441493081553499,17277101,0.5057103044172662,,,,
YEM,Yemen,,national,,2024-12-22,SURVEY,21986715,0.6435633116797586,17317234,0.5068850195298985,,,,
YEM,Yemen,,national,,2024-12-21,SURVEY,21963454,0.6428824493411608,17265311,0.5053652045947276,,,,
YEM,Yemen,,national,,2024-12-20,SURVEY,21938972,0.6421658476570737,17335944,0.5074326715807632,,,,
YEM,Yemen,,national,,2024-12-19,SURVEY,21906500,0.641215386056925,17291275,0.5061251852386961,,,,
YEM,Yemen,,national,,2024-12-18,SURVEY,21884150,0.6405611891802732,17373267,0.5085251364388298,,,,
YEM,Yemen,,national,,2024-12-17,SURVEY,21689021,0.6348496740006946,17297530,0.5063082725491268,,,,
YEM,Yemen,,national,,2024-12-16,SURVEY,21586306,0.6318431187329551,17252859,0.5050007276659532,,,,
YEM,Yemen,,national,,2024-12-15,SURVEY,21548984,0.6307506831454418,17261757,0.5052611770485611,,,,
YEM,Yemen,,national,,2024-12-14,SURVEY,21602139,0.6323065594021876,17217398,0.5039627645779942,,,,
YEM,Yemen,,national,,2024-12-13,SURVEY,21566935,0.6312761188464077,17226010,0.5042148425823794,,,,
YEM,Yemen,,national,,2024-12-12,SURVEY,21493115,0.6291153533008274,17252860,0.5050007569365065,,,,
YEM,Yemen,,national,,2024-12-11,SURVEY,21342255,0.6246995658589225,17306979,0.5065848500065625,,,,
YEM,Yemen,,national,,2024-12-10,SURVEY,21257362,0.6222146972709397,17375991,0.5086048694258183,,,,
YEM,Yemen,,national,,2024-12-09,SURVEY,21165290,0.6195197474958164,17592610,0.5149454273951538,,,,
YEM,Yemen,,national,,2024-12-08,SURVEY,21142437,0.618850827542935,17750199,0.5195581446075387,,,,
YEM,Yemen,,national,,2024-12-07,SURVEY,21256170,0.6221797320440607,17787763,0.5206576636689327,,,,
YEM,Yemen,,national,,2024-12-06,SURVEY,21245207,0.6218590071815762,18034476,0.5278790896670615,,,,
YEM,Yemen,,national,,2024-12-05,SURVEY,21257970,0.6222325767595942,18063157,0.528718598404146,,,,
YEM,Yemen,,national,,2024-12-04,SURVEY,21321590,0.6240947462598209,18022240,0.5275209351777841,,,,
