id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,admin2,fatalities,event_id_cnty
519499,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Jebel Awlia,SD01001,14020,2024-12-17T00:00:00,2024,12,18,BA,Jebel Awlia,896,423
519500,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Um Bada,SD01002,5698,2024-12-17T00:00:00,2024,12,18,BA,Um Bada,810,271
519503,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Karrari,SD01005,16941,2024-12-17T00:00:00,2024,12,18,BA,Karrari,1331,512
519504,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Omdurman,SD01006,6963,2024-12-17T00:00:00,2024,12,18,BA,Omdurman,1431,993
519505,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Khartoum,SD01007,6686,2024-12-17T00:00:00,2024,12,18,BA,Khartoum,2188,2036
519506,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Dar As Salam,SD02113,156731,2024-12-17T00:00:00,2024,12,18,BA,Dar As Salam,62,57
519507,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Al Fasher,SD02114,683990,2024-12-17T00:00:00,2024,12,18,BA,Al Fasher,3379,745
519509,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Al Malha,SD02117,6330,2024-12-17T00:00:00,2024,12,18,BA,Al Malha,15,23
519512,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Um Baru,SD02120,15507,2024-12-17T00:00:00,2024,12,18,BA,Um Baru,10,4
519513,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kebkabiya,SD02124,85760,2024-12-17T00:00:00,2024,12,18,BA,Kebkabiya,151,84
519514,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kelemando,SD02126,15014,2024-12-17T00:00:00,2024,12,18,BA,Kelemando,7,5
519515,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kutum,SD02128,182794,2024-12-17T00:00:00,2024,12,18,BA,Kutum,380,158
519516,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Melit,SD02129,55009,2024-12-17T00:00:00,2024,12,18,BA,Melit,688,90
519517,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Saraf Omra,SD02133,75387,2024-12-17T00:00:00,2024,12,18,BA,Saraf Omra,20,11
519518,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Um Kadadah,SD02136,39215,2024-12-17T00:00:00,2024,12,18,BA,Um Kadadah,38,26
519519,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kernoi,SD02168,2505,2024-12-17T00:00:00,2024,12,18,BA,Kernoi,5,8
519520,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Al Lait,SD02169,15554,2024-12-17T00:00:00,2024,12,18,BA,Al Lait,0,3
519521,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Tawila,SD02170,232534,2024-12-17T00:00:00,2024,12,18,BA,Tawila,64,33
519522,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,At Tina,SD02171,6095,2024-12-17T00:00:00,2024,12,18,BA,At Tina,0,9
519523,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Al Radoum,SD03141,37790,2024-12-17T00:00:00,2024,12,18,BA,Al Radoum,40,14
519524,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Ed Al Fursan,SD03143,33541,2024-12-17T00:00:00,2024,12,18,BA,Ed Al Fursan,0,1
519525,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Kas,SD03144,153958,2024-12-17T00:00:00,2024,12,18,BA,Kas,59,15
519527,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Um Dafoug,SD03146,3835,2024-12-17T00:00:00,2024,12,18,BA,Um Dafoug,0,4
519528,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Sharg Aj Jabal,SD03147,43915,2024-12-17T00:00:00,2024,12,18,BA,Sharg Aj Jabal,38,17
519529,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Tulus,SD03149,20775,2024-12-17T00:00:00,2024,12,18,BA,Tulus,3,5
519530,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Al Wihda,SD03150,6140,2024-12-17T00:00:00,2024,12,18,BA,Al Wihda,3,4
519531,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Nitega,SD03151,28505,2024-12-17T00:00:00,2024,12,18,BA,Nitega,0,2
519532,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Gereida,SD03153,139642,2024-12-17T00:00:00,2024,12,18,BA,Gereida,20,7
519534,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Kubum,SD03157,9090,2024-12-17T00:00:00,2024,12,18,BA,Kubum,240,23
519535,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Rehaid Albirdi,SD03158,30621,2024-12-17T00:00:00,2024,12,18,BA,Rehaid Albirdi,21,5
519536,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Kateila,SD03159,43133,2024-12-17T00:00:00,2024,12,18,BA,Kateila,2,1
519537,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Buram,SD03161,195030,2024-12-17T00:00:00,2024,12,18,BA,Buram,217,36
519538,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Beliel,SD03162,473818,2024-12-17T00:00:00,2024,12,18,BA,Beliel,40,24
519539,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Nyala Shimal,SD03164,328650,2024-12-17T00:00:00,2024,12,18,BA,Nyala Shimal,7,8
519541,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Nyala Janoub,SD03167,78932,2024-12-17T00:00:00,2024,12,18,BA,Nyala Janoub,1062,349
519542,Armed Clashes in Sudan (Overview),Sudan,SDN,South Darfur,SD03,Damso,SD03172,7370,2024-12-17T00:00:00,2024,12,18,BA,Damso,2,1
519543,Armed Clashes in Sudan (Overview),Sudan,SDN,West Darfur,SD04,Beida,SD04111,3190,2024-12-17T00:00:00,2024,12,18,BA,Beida,51,11
519544,Armed Clashes in Sudan (Overview),Sudan,SDN,West Darfur,SD04,El Geneina,SD04115,78675,2024-12-17T00:00:00,2024,12,18,BA,El Geneina,4484,266
519545,Armed Clashes in Sudan (Overview),Sudan,SDN,West Darfur,SD04,Foro Baranga,SD04121,17425,2024-12-17T00:00:00,2024,12,18,BA,Foro Baranga,55,17
