Level 1,fatalities,event_id_cnty,numPresentIdpInd,phase3plus,affected_idps_state
Aj Jazirah,1089,891,370894,2853931,1133745.0
Blue Nile,54,46,293862,734784,273665.0
Central Darfur,458,224,852223,1167817,746573.0
East Darfur,73,67,757123,686566,247616.0
Gedaref,37,101,539064,966142,14284.0
Kassala,2,57,210393,1130199,6126.0
Khartoum,7329,4425,82592,2541541,3671823.0
North Darfur,1242,578,1279699,1438277,1654189.0
North Kordofan,1183,357,194624,981111,87246.0
Northern,45,66,392399,416243,11962.0
Red Sea,1,79,261290,538962,33043.0
River Nile,56,75,726216,621542,69922.0
Sennar,142,80,579198,1311693,320382.0
South Darfur,1660,401,1812264,2041268,2080427.0
South Kordofan,891,278,429152,1018272,417011.0
West Darfur,4929,318,299387,765187,388757.0
West Kordofan,575,213,300470,826909,312745.0
White Nile,74,112,576805,1271505,63258.0
