admin2,fatalities,event_id_cnty,admin2_IPC,admin2Name_IPC,Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Abassiya,108,13,Abassiya,,Apr 2024,SDN,47208125,South Kordofan,Abassiya,current,2024-04-01,2024-05-31,3+,54287,0.4
Abu Hamad,0,4,Abu hamad,,Apr 2024,SDN,47208125,River Nile,Abu hamad,current,2024-04-01,2024-05-31,3+,25357,0.15
Abu Hujar,0,2,Abu hujar,,Apr 2024,SDN,47208125,Sennar,Abu hujar,current,2024-04-01,2024-05-31,3+,95295,0.35
Abu Jubayhah,0,2,Abu Jubayhah,,Apr 2024,SDN,47208125,South Kordofan,Abu Jubayhah,current,2024-04-01,2024-05-31,3+,91277,0.4
Abu Karinka,4,7,Abu karinka,,Apr 2024,SDN,47208125,East Darfur,Abu karinka,current,2024-04-01,2024-05-31,3+,77012,0.35
Abu Kershola,31,16,Abu kershola,,Apr 2024,SDN,47208125,South Kordofan,Abu kershola,current,2024-04-01,2024-05-31,3+,51991,0.5
Abu Zabad,12,10,Abu Zabad,,Apr 2024,SDN,47208125,West Kordofan,Abu Zabad,current,2024-04-01,2024-05-31,3+,151440,0.5
Ad Dabbah,0,4,Ad dabbah,,Apr 2024,SDN,47208125,Northern,Ad dabbah,current,2024-04-01,2024-05-31,3+,85100,0.3
Ad Damar,11,19,Ad damar,,Apr 2024,SDN,47208125,River Nile,Ad damar,current,2024-04-01,2024-05-31,3+,171650,0.3
Ad Diwaim,0,9,Ad diwaim,,Apr 2024,SDN,47208125,White Nile,Ad diwaim,current,2024-04-01,2024-05-31,3+,231568,0.3
Adila,0,9,Adila,,Apr 2024,SDN,47208125,East Darfur,Adila,current,2024-04-01,2024-05-31,3+,85845,0.45
Aj Jabalain,0,5,Aj jabalain,,Apr 2024,SDN,47208125,White Nile,Aj jabalain,current,2024-04-01,2024-05-31,3+,133123,0.4
Al Buhaira,0,2,Al buhaira,,Apr 2024,SDN,47208125,River Nile,Al buhaira,current,2024-04-01,2024-05-31,3+,19455,0.2
Al Buram,7,3,Buram,,Apr 2024,SDN,47208125,South Darfur,Buram,current,2024-04-01,2024-05-31,3+,526939,0.55
Buram,213,29,Buram,,Apr 2024,SDN,47208125,South Darfur,Buram,current,2024-04-01,2024-05-31,3+,526939,0.55
Al Burgaig,0,3,Al burgaig,,Apr 2024,SDN,47208125,Northern,Al burgaig,current,2024-04-01,2024-05-31,3+,45728,0.25
Al Butanah,1,5,Al butanah,,Apr 2024,SDN,47208125,Gedaref,Al butanah,current,2024-04-01,2024-05-31,3+,45537,0.3
Al Dibab,0,2,Al Dibab,,Apr 2024,SDN,47208125,West Kordofan,Al Dibab,current,2024-04-01,2024-05-31,3+,146748,0.5
Al Fao,26,18,Al fao,,Apr 2024,SDN,47208125,Gedaref,Al fao,current,2024-04-01,2024-05-31,3+,109223,0.25
Al Fashaga,0,6,Al fashaga,,Apr 2024,SDN,47208125,Gedaref,Al fashaga,current,2024-04-01,2024-05-31,3+,50626,0.35
Al Fasher,866,382,Al fasher,,Apr 2024,SDN,47208125,North Darfur,Al fasher,current,2024-04-01,2024-05-31,3+,236745,0.75
Al Galabat Al Gharbyah-Kassab,2,2,Al galabat al gharbyah - kassab,,Apr 2024,SDN,47208125,Gedaref,Al galabat al gharbyah - kassab,current,2024-04-01,2024-05-31,3+,73354,0.35
Kas,55,9,Al galabat al gharbyah - kassab,,Apr 2024,SDN,47208125,Gedaref,Al galabat al gharbyah - kassab,current,2024-04-01,2024-05-31,3+,73354,0.35
Al Gitaina,35,45,Al gitaina,,Apr 2024,SDN,47208125,White Nile,Al gitaina,current,2024-04-01,2024-05-31,3+,221350,0.55
Al Golid,0,3,Al golid,,Apr 2024,SDN,47208125,Northern,Al golid,current,2024-04-01,2024-05-31,3+,53825,0.3
Al Hasahisa,320,303,Al hasahisa,,Apr 2024,SDN,47208125,Aj Jazirah,Al hasahisa,current,2024-04-01,2024-05-31,3+,2005856,0.55
Al Idia,15,14,Al Idia,,Apr 2024,SDN,47208125,West Kordofan,Al Idia,current,2024-04-01,2024-05-31,3+,151440,0.5
Al Kamlin,207,98,Kamlin Janub Al Jazirah,,Apr 2024,SDN,47208125,Aj Jazirah,Kamlin Janub Al Jazirah,current,2024-04-01,2024-05-31,3+,2005856,0.55
Janub Al Jazirah,187,158,Kamlin Janub Al Jazirah,,Apr 2024,SDN,47208125,Aj Jazirah,Kamlin Janub Al Jazirah,current,2024-04-01,2024-05-31,3+,2005856,0.55
Al Khiwai,58,6,Al Khiwai,,Apr 2024,SDN,47208125,West Kordofan,Al Khiwai,current,2024-04-01,2024-05-31,3+,174900,0.4
Al Kurmuk,40,12,Al kurmuk,,Apr 2024,SDN,47208125,Blue Nile,Al kurmuk,current,2024-04-01,2024-05-31,3+,47509,0.55
Al Lagowa,35,14,Al lagowa,,Apr 2024,SDN,47208125,West Kordofan,Al lagowa,current,2024-04-01,2024-05-31,3+,60657,0.55
Al Lait,0,2,Melit,,Apr 2024,SDN,47208125,North Darfur,Melit,current,2024-04-01,2024-05-31,3+,261912,0.55
Melit,33,41,Melit,,Apr 2024,SDN,47208125,North Darfur,Melit,current,2024-04-01,2024-05-31,3+,261912,0.55
Al Mafaza,0,3,Al mafaza,,Apr 2024,SDN,47208125,Gedaref,Al mafaza,current,2024-04-01,2024-05-31,3+,34158,0.25
Al Malha,3,3,Al malha,,Apr 2024,SDN,47208125,North Darfur,Al malha,current,2024-04-01,2024-05-31,3+,261912,0.55
Reifi Shamal Ad Delta,0,1,Al malha,,Apr 2024,SDN,47208125,North Darfur,Al malha,current,2024-04-01,2024-05-31,3+,261912,0.55
Al Manaqil,51,31,Al manaqil,,Apr 2024,SDN,47208125,Aj Jazirah,Al manaqil,current,2024-04-01,2024-05-31,3+,681606,0.45
Al Matama,0,5,Al matama,,Apr 2024,SDN,47208125,River Nile,Al matama,current,2024-04-01,2024-05-31,3+,84038,0.25
Al Meiram,0,2,Al Meiram,,Apr 2024,SDN,47208125,West Kordofan,Al Meiram,current,2024-04-01,2024-05-31,3+,146748,0.5
Al Quoz,49,26,Al quoz,,Apr 2024,SDN,47208125,South Kordofan,Al quoz,current,2024-04-01,2024-05-31,3+,74778,0.55
Al Qurashi,17,9,Al Qurashi,,Apr 2024,SDN,47208125,Aj Jazirah,Al Qurashi,current,2024-04-01,2024-05-31,3+,681606,0.45
Al Radoum,33,6,Al radoum,,Apr 2024,SDN,47208125,South Darfur,Al radoum,current,2024-04-01,2024-05-31,3+,308970,0.45
Al Tadamon,12,6,At tadamon - sk,,Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,current,2024-04-01,2024-05-31,3+,22230,0.25
Al Wihda,1,2,Al Wihda,,Apr 2024,SDN,47208125,South Darfur,Al Wihda,current,2024-04-01,2024-05-31,3+,242549,0.65
An Nuhud,6,24,An Nuhud,,Apr 2024,SDN,47208125,West Kordofan,An Nuhud,current,2024-04-01,2024-05-31,3+,134355,0.45
Ar Rahad,100,45,Ar rahad,,Apr 2024,SDN,47208125,Gedaref,Ar rahad,current,2024-04-01,2024-05-31,3+,65640,0.2
Ar Rahad,100,45,Ar rahad,,Apr 2024,SDN,47208125,North Kordofan,Ar rahad,current,2024-04-01,2024-05-31,3+,236766,0.4
Ar Reif Ash Shargi,70,15,Ar reif ash shargi,,Apr 2024,SDN,47208125,South Kordofan,Ar reif ash shargi,current,2024-04-01,2024-05-31,3+,38549,0.5
As Salam/Ar Rawat,0,2,As salam / ar rawat,,Apr 2024,SDN,47208125,White Nile,As salam / ar rawat,current,2024-04-01,2024-05-31,3+,51413,0.3
As Suki,9,2,As suki,,Apr 2024,SDN,47208125,Sennar,As suki,current,2024-04-01,2024-05-31,3+,200669,0.45
As Sunut,0,1,As sunut,,Apr 2024,SDN,47208125,West Kordofan,As sunut,current,2024-04-01,2024-05-31,3+,52761,0.35
At Tina,0,3,At Tina,,Apr 2024,SDN,47208125,North Darfur,At Tina,current,2024-04-01,2024-05-31,3+,121328,0.45
Atbara,5,19,Rural River Atbara,,Apr 2024,SDN,47208125,Kassala,Rural River Atbara,current,2024-04-01,2024-05-31,3+,66385,0.3
Bara,60,29,Rural River Atbara,,Apr 2024,SDN,47208125,Kassala,Rural River Atbara,current,2024-04-01,2024-05-31,3+,66385,0.3
Azum,9,10,Azum,,Apr 2024,SDN,47208125,Central Darfur,Azum,current,2024-04-01,2024-05-31,3+,369837,0.65
Babanusa,307,77,Babanusa,,Apr 2024,SDN,47208125,West Kordofan,Babanusa,current,2024-04-01,2024-05-31,3+,10020,0.6
Bahri,1181,744,Bahri,,Apr 2024,SDN,47208125,Khartoum,Bahri,current,2024-04-01,2024-05-31,3+,521150,0.5
Barbar,0,4,Barbar,,Apr 2024,SDN,47208125,River Nile,Barbar,current,2024-04-01,2024-05-31,3+,37186,0.15
Basundah,0,7,Basundah,,Apr 2024,SDN,47208125,Gedaref,Basundah,current,2024-04-01,2024-05-31,3+,42800,0.35
Beida,50,10,Beida,,Apr 2024,SDN,47208125,West Darfur,Beida,current,2024-04-01,2024-05-31,3+,16885,0.5
Beliel,34,15,Beliel,,Apr 2024,SDN,47208125,South Darfur,Beliel,current,2024-04-01,2024-05-31,3+,453642,0.7
Bendasi,12,5,Bendasi,,Apr 2024,SDN,47208125,Central Darfur,Bendasi,current,2024-04-01,2024-05-31,3+,369837,0.65
