id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,admin2Name_IPC
393800,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Gharb Kassala,SD11054,20,2024-05-31T00:00:00,2024,5,3,BA,
393781,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Madeinat Kassala,SD11053,130812,2024-05-31T00:00:00,2024,5,3,BA,Kassala
393791,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Aroma,SD11055,1565,2024-05-31T00:00:00,2024,5,3,BA,
393540,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Al Fasher,SD02114,592826,2024-05-31T00:00:00,2024,5,3,BA,Al fasher
393550,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Al Koma,SD02116,10045,2024-05-31T00:00:00,2024,5,3,BA,Al koma
393560,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Al Lait,SD02169,13453,2024-05-31T00:00:00,2024,5,3,BA,
393818,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Kassla,SD11056,3765,2024-05-31T00:00:00,2024,5,3,BA,Kas
393808,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Hamashkureib,SD11058,685,2024-05-31T00:00:00,2024,5,3,BA,Hamashkoreib
393828,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Khashm Elgirba,SD11060,8209,2024-05-31T00:00:00,2024,5,3,BA,
393838,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Nahr Atbara,SD11062,4067,2024-05-31T00:00:00,2024,5,3,BA,
393848,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Shamal Ad Delta,SD11057,5465,2024-05-31T00:00:00,2024,5,3,BA,
393858,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Telkok,SD11059,3585,2024-05-31T00:00:00,2024,5,3,BA,
393868,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Bahri,SD01003,18585,2024-05-31T00:00:00,2024,5,3,BA,Bahri
393878,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Jebel Awlia,SD01001,6069,2024-05-31T00:00:00,2024,5,3,BA,Jebel awlia
393888,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Karrari,SD01005,15431,2024-05-31T00:00:00,2024,5,3,BA,Karrari
393898,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Khartoum,SD01007,4085,2024-05-31T00:00:00,2024,5,3,BA,Khartoum
393908,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Sharg An Neel,SD01004,20605,2024-05-31T00:00:00,2024,5,3,BA,Sharg an neel
393918,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Um Bada,SD01002,8681,2024-05-31T00:00:00,2024,5,3,BA,Um Bada
393950,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,As Serief,SD02118,11731,2024-05-31T00:00:00,2024,5,3,BA,As Serief
393960,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,At Tawisha,SD02119,1835,2024-05-31T00:00:00,2024,5,3,BA,At tawisha
393940,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Al Malha,SD02117,6225,2024-05-31T00:00:00,2024,5,3,BA,Al malha
393928,Armed Clashes in Sudan (Overview),Sudan,SDN,Khartoum,SD01,Um Durman,SD01006,9136,2024-05-31T00:00:00,2024,5,3,BA,UmDurman
393970,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,At Tina,SD02171,5385,2024-05-31T00:00:00,2024,5,3,BA,At Tina
401545,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Dar As Salam,SD02113,71016,2024-05-31T00:00:00,2024,5,3,BA,Dar as salam
401555,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kebkabiya,SD02124,80805,2024-05-31T00:00:00,2024,5,3,BA,Kebkabiya
401565,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kelemando,SD02126,10887,2024-05-31T00:00:00,2024,5,3,BA,Kelemando
401575,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kernoi,SD02168,1580,2024-05-31T00:00:00,2024,5,3,BA,Kernoi
401765,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Dongola,SD17017,55209,2024-05-31T00:00:00,2024,5,3,BA,Dongola
401745,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Al Golid,SD17018,60442,2024-05-31T00:00:00,2024,5,3,BA,Al golid
401755,Armed Clashes in Sudan (Overview),Sudan,SDN,Northern,SD17,Delgo,SD17015,40375,2024-05-31T00:00:00,2024,5,3,BA,Delgo
401585,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Kutum,SD02128,152296,2024-05-31T00:00:00,2024,5,3,BA,Kutum
401595,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Melit,SD02129,46779,2024-05-31T00:00:00,2024,5,3,BA,Melit
401605,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Saraf Omra,SD02133,64697,2024-05-31T00:00:00,2024,5,3,BA,Saraf Omra
401615,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Tawila,SD02170,170859,2024-05-31T00:00:00,2024,5,3,BA,Tawila
401625,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Um Baru,SD02120,1360,2024-05-31T00:00:00,2024,5,3,BA,Um baru
401635,Armed Clashes in Sudan (Overview),Sudan,SDN,North Darfur,SD02,Um Kadadah,SD02136,37920,2024-05-31T00:00:00,2024,5,3,BA,Um kadadah
401645,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Ar Rahad,SD13030,42763,2024-05-31T00:00:00,2024,5,3,BA,
401655,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Bara,SD13026,32225,2024-05-31T00:00:00,2024,5,3,BA,Bara
401665,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Gebrat Al Sheikh,SD13027,7283,2024-05-31T00:00:00,2024,5,3,BA,Gebrat al sheikh
401675,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Gharb Bara,SD13029,8036,2024-05-31T00:00:00,2024,5,3,BA,
401685,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Sheikan,SD13024,43277,2024-05-31T00:00:00,2024,5,3,BA,Sheikan
401695,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Soudari,SD13025,3968,2024-05-31T00:00:00,2024,5,3,BA,Soudari
