Source,Original_Location,IPC_Original_Name,Match_Score
ACLED,Zalingi,Zalingi,100
IOM,Reifi Gharb Kassala,Kassala,100
IOM,Madeinat Kassala,Kassala,100
IOM,Al Fasher,Al fasher,100
ACLED,Port Sudan,Port sudan,100
ACLED,Rabak,Rabak,100
ACLED,Rashad,Ar Rashad,100
ACLED,Reifi Gharb Kassala,Kassala,100
ACLED,Reifi Kassla,Kas,100
ACLED,Medani Al Kubra,Medani al kubra,100
ACLED,Melit,Melit,100
ACLED,Mershing,Mershing,100
ACLED,Mukjar,Mukjar,100
ACLED,Nitega,Nitega,100
ACLED,Nyala Janoub,Nyala Janoub,100
ACLED,Nyala Shimal,Nyala Shimal,100
ACLED,Kereneik,Kereneik,100
ACLED,Khartoum,Khartoum,100
ACLED,Kosti,Kosti,100
ACLED,Kubum,Kubum,100
ACLED,Kulbus,Kulbus,100
ACLED,Kutum,Kutum,100
ACLED,Madeinat Al Gedaref,Madeinat al gedaref,100
ACLED,Madeinat Kassala,Kassala,100
ACLED,Jebel Moon,Jebel moon,100
ACLED,Kadugli,Kadugli,100
ACLED,Karrari,Karrari,100
ACLED,Kas,Al galabat al gharbyah - kassab,100
ACLED,Kateila,Kateila,100
ACLED,Kebkabiya,Kebkabiya,100
ACLED,Keilak,Keilak,100
ACLED,Kelemando,Kelemando,100
IOM,Al Matama,Al matama,100
IOM,Atbara,Rural River Atbara,100
IOM,Barbar,Barbar,100
IOM,Shendi,Shendi,100
IOM,Abu Hujar,Abu hujar,100
IOM,Ad Dali,Ad dali,100
IOM,Ad Dinder,Ad dinder,100
IOM,As Suki,As suki,100
IOM,Jubayt Elma'aadin,Jubayt elma'aadin,100
IOM,Port Sudan,Port sudan,100
IOM,Sawakin,Sawakin,100
IOM,Sinkat,Sinkat,100
IOM,Tawkar,Tawkar,100
IOM,Abu Hamad,Abu hamad,100
IOM,Ad Damar,Ad damar,100
IOM,Al Buhaira,Al buhaira,100
IOM,Dordieb,Dordieb,100
IOM,Haya,Haya,100
IOM,Hala'ib,Hala'ib,100
IOM,Merwoe,Merwoe,100
IOM,Agig,Agig,100
IOM,Halfa,New Halfa,100
IOM,Sennar,Sennar,100
IOM,Gebrat Al Sheikh,Gebrat al sheikh,100
IOM,Gharb Bara,Bara,100
IOM,Sheikan,Sheikan,100
IOM,Soudari,Soudari,100
IOM,Um Dam Haj Ahmed,Um Dam Haj Ahmed,100
IOM,Um Rawaba,Um Rawaba,100
IOM,Ad Dabbah,Ad dabbah,100
IOM,Al Burgaig,Al burgaig,100
IOM,Abu Kershola,Abu kershola,100
IOM,Al Leri,Al Leri,100
IOM,Al Quoz,Al quoz,100
IOM,Ar Rashad,Ar Rashad,100
IOM,Ar Reif Ash Shargi,Ar reif ash shargi,100
IOM,At Tadamon - SK,At tadamon - sk,100
IOM,Delami,Delami,100
IOM,Sirba,Sirba,100
IOM,Nyala Janoub,Nyala Janoub,100
IOM,Nyala Shimal,Nyala Shimal,100
IOM,Sharg Aj Jabal,Sharg aj Jabal,100
IOM,Tulus,Tulus,100
IOM,Um Dafoug,Um Dafoug,100
IOM,Abassiya,Abassiya,100
IOM,Abu Jubayhah,Abu Jubayhah,100
IOM,Damso,Damso,100
IOM,Ed Al Fursan,Ed al fursan,100
IOM,Gereida,Gereida,100
IOM,Kas,Al galabat al gharbyah - kassab,100
IOM,Kateila,Kateila,100
IOM,Kubum,Kubum,100
IOM,Mershing,Mershing,100
IOM,Nitega,Nitega,100
IOM,Sharg Sennar,Sennar,100
IOM,Sinja,Sinja,100
IOM,Al Radoum,Al radoum,100
IOM,Al Wihda,Al Wihda,100
IOM,As Salam - SD,As salam - sd,100
IOM,As Sunta,As sunta,100
IOM,Beliel,Beliel,100
IOM,Buram,Buram,100
IOM,Babanusa,Babanusa,100
IOM,Ghubaish,Ghubaish,100
IOM,Keilak,Keilak,100
IOM,Wad Bandah,Wad Bandah,100
IOM,Ad Diwaim,Ad diwaim,100
IOM,Aj Jabalain,Aj jabalain,100
IOM,Al Gitaina,Al gitaina,100
IOM,As Salam / Ar Rawat,As salam / ar rawat,100
IOM,Al Khiwai,Al Khiwai,100
IOM,Tendalti,Tendalti,100
IOM,Um Rimta,Um Rimta,100
IOM,Al Lagowa,Al lagowa,100
IOM,Al Meiram,Al Meiram,100
IOM,An Nuhud,An Nuhud,100
IOM,As Sunut,As sunut,100
IOM,Kadugli,Kadugli,100
IOM,Talawdi,Talawdi,100
IOM,Ag Geneina,Ag geneina,100
IOM,Beida,Beida,100
IOM,Foro Baranga,Bara,100
IOM,Al Hasahisa,Al hasahisa,100
IOM,Al Dibab,Al Dibab,100
IOM,Al Idia,Al Idia,100
IOM,Abu Zabad,Abu Zabad,100
IOM,Habila - WD,Habila - wd,100
IOM,Jebel Moon,Jebel moon,100
IOM,Kereneik,Kereneik,100
IOM,Kulbus,Kulbus,100
IOM,Dilling,Dilling,100
IOM,Ghadeer,Ghadeer,100
IOM,Habila - SK,Habila - sk,100
IOM,Zalingi,Zalingi,100
IOM,Abu Karinka,Abu karinka,100
IOM,Adila,Adila,100
IOM,Al Firdous,Al firdous,100
IOM,Assalaya,Assalaya,100
IOM,Bahr Al Arab,Bahr al arab,100
IOM,Yassin,Yassin,100
IOM,Wad Al Mahi,Wad al mahi,100
IOM,Azum,Azum,100
IOM,Bendasi,Bendasi,100
IOM,Mukjar,Mukjar,100
IOM,Um Dukhun,Um Dukhun,100
IOM,Wadi Salih,Wadi Salih,100
IOM,Abu Jabrah,Abu jabrah,100
IOM,Um Algura,Algura,100
IOM,Al Kurmuk,Al kurmuk,100
IOM,Ar Rusayris,Ar rusayris,100
IOM,At Tadamon - BN,At tadamon - bn,100
IOM,Baw,Baw,100
IOM,Ed Damazine,Ed damazine,100
