id,operation,admin0Name,admin0Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,year
8643,Returns and displacement in Afghanistan,Afghanistan,AFG,1728157,2017-12-31,2017,12,3,BA,2017
8647,Returns and displacement in Afghanistan,Afghanistan,AFG,3529971,2018-12-31,2018,12,7,BA,2018
8649,Returns and displacement in Afghanistan,Afghanistan,AFG,4350900,2019-12-31,2019,12,9,BA,2019
8651,Returns and displacement in Afghanistan,Afghanistan,AFG,4937277,2020-12-31,2020,12,11,BA,2020
8654,Returns and displacement in Afghanistan,Afghanistan,AFG,5832454,2021-12-31,2021,12,14,BA,2021
8656,Returns and displacement in Afghanistan,Afghanistan,AFG,6557855,2022-12-31,2022,12,16,BA,2022
8945,Nord Kivu,Democratic Republic of The Congo,COD,35588,2018-12-30,2018,12,30,SA,2018
8927,Nord Kivu,Democratic Republic of the Congo,COD,57023,2016-12-30,2016,12,12,SA,2016
8937,Nord Kivu,Democratic Republic of the Congo,COD,42878,2017-12-31,2017,12,22,SA,2017
9169,Sud Kivu,Democratic Republic of the Congo,COD,131627,2018-12-30,2018,12,3,BA,2018
9075,Nord Kivu,Democratic Republic of the Congo,COD,626549,2019-10-31,2019,10,38,BA,2019
9160,Kasai Central,Democratic Republic of the Congo,COD,375847,2020-12-31,2020,12,7,BA,2020
8304,Ituri,Democratic Republic of the Congo,COD,1479709,2021-08-30,2021,8,6,BA,2021
8905,M23 Crisis Response,Democratic Republic of the Congo,COD,234488,2022-11-30,2022,11,1,BA,2022
8915,M23 Crisis Response,Democratic Republic of the Congo,COD,1240215,2023-12-31,2023,12,11,BA,2023
10575,M23 Crisis Response,Democratic Republic of the Congo,COD,1945901,2024-11-30,2024,11,23,BA,2024
9217,Countrywide monitoring,Ethiopia,ETH,1696145,2017-12-31,2017,12,8,SA,2017
9223,Countrywide monitoring,Ethiopia,ETH,2332936,2018-12-31,2018,12,14,SA,2018
9229,Countrywide monitoring,Ethiopia,ETH,1733628,2019-12-31,2019,12,20,SA,2019
9232,Countrywide monitoring,Ethiopia,ETH,1846551,2020-09-30,2020,9,23,SA,2020
8433,Northern Ethiopia Crisis,Ethiopia,ETH,2114653,2021-10-30,2021,10,8,SA,2021
9241,Countrywide monitoring,Ethiopia,ETH,3143255,2022-12-31,2022,12,32,SA,2022
9244,Countrywide monitoring,Ethiopia,ETH,3194413,2023-12-31,2023,12,35,SA,2023
9245,Countrywide monitoring,Ethiopia,ETH,3306693,2024-05-31,2024,5,36,SA,2024
9312,Iraq conflict,Iraq,IRQ,2123340,2014-12-01,2014,12,11,BA,2014
9323,Iraq conflict,Iraq,IRQ,3289740,2015-12-01,2015,12,34,BA,2015
9335,Iraq conflict,Iraq,IRQ,3064146,2016-12-01,2016,12,60,BA,2016
9347,Iraq conflict,Iraq,IRQ,2615988,2017-12-31,2017,12,86,BA,2017
9358,Iraq conflict,Iraq,IRQ,1802832,2018-12-30,2018,12,107,BA,2018
8193,Iraq conflict,Iraq,IRQ,1414632,2019-12-31,2019,12,113,BA,2019
8199,Iraq conflict,Iraq,IRQ,1224108,2020-12-31,2020,12,119,BA,2020
